company_mart.name,company_mart.deleted_week,company_mart.registration_week
delete246,2019-07-01,1998-12-28
Key Organics,2019-07-01,1998-12-28
Zzzz (Delete),2019-07-01,1998-12-28
RUCO Druckfarben,2019-07-01,1998-12-28
delete247,2019-07-01,1998-12-28
Krahn Chemie Deutschland Gmbh,2019-07-01,1998-12-28
delete245,2019-07-01,1998-12-28
STOCKMEIER Chemie GmbH & Co. KG,2019-07-01,1998-12-28
delete318,2019-07-01,1998-12-28
Optimal Tech,2019-07-01,1998-12-28
delete269,2019-07-01,1998-12-28
Enprom Packaging Slu,2019-07-01,1998-12-28
Nieuwkoop Europe Bv,2019-07-01,1998-12-28
delete243,2019-07-01,1998-12-28
Kraeber & Co Gmbh,2019-07-01,1998-12-28
Https://Www.888Rps.Com,2019-07-01,1998-12-28
delete268,2019-07-01,1998-12-28
delete277,2019-07-01,1998-12-28
Zetc Gmbh & Co Kg,2019-07-01,1998-12-28
Rubino Chem,2019-07-01,1998-12-28
Kronos International Inc.,2019-07-01,1998-12-28
delete410,2019-07-01,1998-12-28
Stockmeier Chemie (Germany),2019-07-01,1998-12-28
delete244,2019-07-01,1998-12-28
Count Energy Distribution Ltd,,2018-07-23
Goodpack Europe,,2018-07-23
Dr. Babor Gmbh & Co.Kg,,2018-07-23
Altana Ag,,2018-07-23
Water Treatment Products Ltd.,,2018-07-23
STOCKMEIER Chemie GmbH & Co. KG,,2018-07-23
delete202,2019-01-14,2018-07-23
Karl Finke Gmbh & Co. Kg,,2018-07-30
Harold Scholz & Co. Gmbh,,2018-07-30
Air Liquide Deutschland Gmbh,,2018-07-30
IQAP Masterbatch,,2018-07-30
Perstorp Group,,2018-08-06
Syskem Chemie Gmbh,,2018-08-06
Bch Brühl,,2018-08-06
Brenntag,,2018-08-06
Focus Chemical,,2018-08-06
delete200,2019-01-14,2018-08-06
A-Gas Electronic Materials,,2018-08-06
Traditem Gmbh,,2018-08-13
Traditem GmbH,,2018-08-13
BCH Brühl - Chemikalien Handel GmbH,,2018-08-13
Beckers Group,,2018-08-13
Häffner Gmbh & Co. Kg,,2018-08-13
Evonik Industries Ag,,2018-08-20
Syskem Chemie Gmbh,,2018-08-20
Siegwerk Druckfarben,,2018-08-20
NORIS-COLOR,,2018-08-20
Focus Chemical,,2018-08-20
Häffner GmbH & Co. KG,,2018-08-20
Rescom Srl,,2018-08-27
Mathiesen Corp.,,2018-08-27
MAXIM,,2018-08-27
Cofermin Chemicals Gmbh & Co. KG,,2018-08-27
delete152,2019-01-14,2018-08-27
deleted_Krahn Chemie,2020-08-31,2018-09-03
Kronos International Inc.,,2018-09-03
delete Kronos,2019-11-04,2018-09-03
Krahn Chemie Deutschland GmbH,,2018-09-03
P1 Performance Fuels,,2018-09-10
Harold Scholz & Co. GmbH,,2018-09-10
Arlanxeo Deutschland Gmbh,,2018-09-10
Joaquin Gimeno,,2018-09-10
Cofermin Chemicals,,2018-09-17
Anderol Bv,,2018-09-17
ELTON INTERNATIONAL TRADING COMPANY S.A,,2018-09-17
Imhoff und Stahl GmbH,,2018-09-17
