company_mart.name,company_mart.deleted_week,company_mart.registration_week,company_mart.account_type
Key Organics,2019-07-01,1998-12-28,Buyer
RUCO Druckfarben,2019-07-01,1998-12-28,Buyer
Rubino Chem,2019-07-01,1998-12-28,Buyer
Zetc Gmbh & Co Kg,2019-07-01,1998-12-28,Buyer
Optimal Tech,2019-07-01,1998-12-28,Buyer
Krahn Chemie Deutschland Gmbh,2019-07-01,1998-12-28,Buyer
delete318,2019-07-01,1998-12-28,Buyer
Enprom Packaging Slu,2019-07-01,1998-12-28,Buyer
Dr. Babor Gmbh & Co.Kg,,2018-07-23,Buyer
Water Treatment Products Ltd.,,2018-07-23,Buyer
delete202,2019-01-14,2018-07-23,Buyer
Altana Ag,,2018-07-23,Buyer
IQAP Masterbatch,,2018-07-30,Buyer
Karl Finke Gmbh & Co. Kg,,2018-07-30,Buyer
Harold Scholz & Co. Gmbh,,2018-07-30,Buyer
delete200,2019-01-14,2018-08-06,Buyer
Brenntag,,2018-08-06,Buyer
Bch Brühl,,2018-08-06,Buyer
A-Gas Electronic Materials,,2018-08-06,Buyer
Traditem Gmbh,,2018-08-13,Buyer
Beckers Group,,2018-08-13,Buyer
Häffner Gmbh & Co. Kg,,2018-08-13,Buyer
Syskem Chemie Gmbh,,2018-08-20,Buyer
Siegwerk Druckfarben,,2018-08-20,Buyer
Focus Chemical,,2018-08-20,Buyer
NORIS-COLOR,,2018-08-20,Buyer
MAXIM,,2018-08-27,Buyer
Cofermin Chemicals Gmbh & Co. KG,,2018-08-27,Buyer
delete Kronos,2019-11-04,2018-09-03,Buyer
Krahn Chemie Deutschland GmbH,,2018-09-03,Buyer
Joaquin Gimeno,,2018-09-10,Buyer
P1 Performance Fuels,,2018-09-10,Buyer
Imhoff und Stahl GmbH,,2018-09-17,Buyer
ELTON INTERNATIONAL TRADING COMPANY S.A,,2018-09-17,Buyer
Rescom Srl,,2018-09-17,Buyer
Scotmas Limited,,2018-09-24,Buyer
IQT Bio-Quant GmbH,,2018-09-24,Buyer
delete195,2019-01-14,2018-10-01,Buyer
Weiss Chemie,,2018-10-01,Buyer
Raziol Zibulla & Sohn GmbH,,2018-10-01,Buyer
Liqui Moly GmbH,,2018-10-01,Buyer
Bechem Lubrication Technology,,2018-10-01,Buyer
deleted_A. M. Ramp &Co. GmbH - RUCO Druckfarben,2022-07-18,2018-10-01,Buyer
PINTURAS COLAMINA S.L.,,2018-10-08,Buyer
Monica Lentini,,2018-10-08,Buyer
deleted_Sapio srl,2020-08-31,2018-10-08,Buyer
Hebro Chemie,,2018-10-08,Buyer
deleted_Laviosa,2022-04-18,2018-10-08,Buyer
BIODESIV,,2018-10-08,Buyer
BLC LACK CHEMIE GMBH,,2018-10-08,Buyer
Spot Height Limited,,2018-10-08,Buyer
Solar Chemferts Ltd.,,2018-10-15,Buyer
Sudarshan Chemicals Ltd.,,2018-10-15,Buyer
Voxco Pigments,,2018-10-15,Buyer
Anupam Colours & Chemicals Industries Ltd.,,2018-10-15,Buyer
Anupam Colours Private Ltd.,,2018-10-15,Buyer
Macherey & Nagel GmbH & Co. KG,,2018-10-15,Buyer
Colour Chromes,,2018-10-15,Buyer
Maleki GmbH,,2018-10-15,Buyer
Micas Pigments Ltd.,,2018-10-15,Buyer
Mixer S.r.L.,,2018-10-15,Buyer
OSMO HOLZ UND COLOR GMBH & CO. KG,,2018-10-15,Buyer
Raveshia Pigment Ltd.,,2018-10-15,Buyer
Riddhi Pharma Ltd.,,2018-10-15,Buyer
Solara,,2018-10-15,Buyer
SQ Deutschland GmbH,,2018-10-22,Buyer
Central Chemical Suppliers Limited,,2018-10-22,Buyer
Dream Flower Parfum s.r.l.,,2018-10-22,Buyer
Instituto Investigacion Sanitaria La Fe,,2018-10-22,Buyer
Trelleborg Applied Technologies,,2018-10-22,Buyer
deleted_deleted_Dan Test,2021-12-06,2018-10-29,Buyer
deleted_Mathieu Company Test,2020-08-31,2018-10-29,Buyer
deleted_Probengal,2020-08-31,2018-10-29,Buyer
deleted_test254,2020-08-31,2018-10-29,Buyer
deleted_KI growth Test Company,2020-08-31,2018-10-29,Buyer
deleted_FESEC,2020-08-31,2018-10-29,Buyer
Italchimici srl,,2018-10-29,Buyer
3D-MATERIALS,,2018-10-29,Buyer
deleted_Woltdizney Labs,2020-08-31,2018-11-05,Buyer
deleted_Test company,2020-08-31,2018-11-05,Buyer
Jiahua Europe Ltd,,2018-11-05,Buyer
SAMARO,,2018-11-05,Buyer
Kemetyl Nederland BV,,2018-11-05,Buyer
ILERSPRAY,,2018-11-05,Buyer
HITAM FRANCE,,2018-11-05,Buyer
Harke Chemicals,,2018-11-05,Buyer
deleted_Addivant,2020-08-31,2018-11-05,Buyer
fiorio colori,,2018-11-05,Buyer
Industrias Quimicas Induquim S.L.,,2018-11-05,Buyer
deleted_Asellion,2020-08-31,2018-11-05,Buyer
deleted_DISTRIBUCIONES PCV,2020-08-31,2018-11-05,Buyer
deleted_distripark.com sp. z o.o.,2020-08-31,2018-11-05,Buyer
deleted_KI finance GmbH,2020-08-31,2018-11-05,Buyer
Concentrol,,2018-11-05,Buyer
Agenzia Chimica Italiana,,2018-11-05,Buyer
Anaphite Ltd,,2018-11-05,Buyer
deleted_liX UG,2020-08-31,2018-11-05,Buyer
deleted_MIKhemist,2020-08-31,2018-11-05,Buyer
"ACRILATOS, S.A.U.",,2018-11-05,Buyer
deleted_Oqema Ag - 1,2020-08-31,2018-11-05,Buyer
deleted_OQEMA GmbH-1,2020-08-31,2018-11-05,Buyer
deleted_Test GmbH,2020-08-31,2018-11-05,Buyer
deleted_TECNICA LAMBERT,2020-08-31,2018-11-05,Buyer
Gases Research Innovation & Technology SL,,2018-11-12,Buyer
Air Liquide France,,2018-11-12,Buyer
Budenheim Iberica,,2018-11-12,Buyer
Carl Warrlich Gmbh,,2018-11-12,Buyer
Classco S.R.L,,2018-11-12,Buyer
ERREDUE,,2018-11-12,Buyer
"FOSROC-EUCO, S.A.",,2018-11-12,Buyer
Giuseppe Di Maria S.p.A.,,2018-11-12,Buyer
Hüttenes-Albertus Chemische Werke GmbH,,2018-11-12,Buyer
Imcd France,,2018-11-12,Buyer
Inventec Performance Chemicals,,2018-11-12,Buyer
"Laiex, S.L.",,2018-11-12,Buyer
LAPI CHIMICI SRL,,2018-11-12,Buyer
Mediterranea de agroquimicos,,2018-11-12,Buyer
Meghna Colour Chem,,2018-11-12,Buyer
deleted_Testcompany,2020-08-31,2018-11-12,Buyer
deleted_SP,2020-08-31,2018-11-12,Buyer
deleted_Imcd-France,2020-08-31,2018-11-12,Buyer
deleted_Idrosoluzioni srl,2020-08-31,2018-11-12,Buyer
SAIPOL,,2018-11-12,Buyer
deleted_Huss,2020-08-31,2018-11-12,Buyer
SpaChem Limited,,2018-11-12,Buyer
Symrise AG,,2018-11-12,Buyer
deleted_Four Leaf Communications,2020-08-31,2018-11-12,Buyer
deleted_Don Marten Ltd,2020-08-31,2018-11-12,Buyer
deleted_Quaternia s.l.,2022-11-28,2018-11-12,Buyer
