,company,Product Density Score,Requests Density Score,Match Count
0,STOCKMEIER Chemie GmbH & Co. KG,0.1111111111111111,42.81196581196581,26
1,Harold Scholz & Co. GmbH,0.06666666666666667,25.733333333333334,1
2,Count Energy Distribution Ltd,0.21153846153846154,78.90384615384616,11
3,Goodpack Europe,0.0,0.0,0
4,Perstorp Group,0.0,0.0,0
5,Syskem Chemie Gmbh,0.06430868167202572,25.366559485530548,20
6,BCH Brühl - Chemikalien Handel GmbH,0.0,0.0,0
7,Traditem GmbH,0.036931818181818184,14.818181818181818,26
8,Häffner GmbH & Co. KG,0.06263982102908278,25.154362416107382,28
9,Rescom Srl,0.0,0.0,0
10,Cofermin Chemicals,0.0,0.0,0
11,Carbon Activated Europe,0.0,0.0,0
12,Julius Hoesch GmbH & Co. KG,0.0684931506849315,27.050228310502284,30
13,Möller Chemie GmbH & Co. KG,0.12408759124087591,48.51094890510949,17
14,Nano Gold,0.0,0.0,0
15,Kronos International Inc.,1.0,386.0,1
16,Sumo Innovations,0.0,0.0,0
17,DW OIL Trading GmbH,0.0,0.0,0
18,BTC Europe GmbH,0.023510971786833857,9.869905956112852,15
19,HARKE Chemicals GmbH,0.17647058823529413,87.58823529411765,6
20,Europigments SL,0.0,0.0,0
21,Blue Bear Chemicals Bv,0.0,0.0,0
22,M2I Life Sciences,0.0,0.0,0
23,Cores Resine Srl,0.0,0.0,0
24,distripark GmbH,0.5,216.96875,16
25,Mosselman SA,0.01652892561983471,7.012396694214876,4
26,Water Treatment Products,0.5,218.5,1
27,Mercur Handel GmbH,0.038461538461538464,14.788461538461538,2
28,SINCHEM EUROPE SAS,0.0,0.0,0
29,Kraeber & Co,0.0,0.0,0
30,BI-QEM SA,0.0,0.0,0
31,Preparados Quimicos De Navarra S.L.,0.14285714285714285,63.41353383458647,19
32,Chempoint Emea,0.0,0.0,0
33,VICCOR INDUSTRY,0.025412960609911054,10.564167725540026,20
34,Lehmann&Voss&Co. Kg,0.0,0.0,0
35,Quimidroga,0.06666666666666667,26.454545454545453,11
36,Italmatch Chemicals Spa,0.0,0.0,0
37,BÜFA Chemikalien GmbH & Co. KG,0.0979020979020979,37.2972027972028,28
38,J&K Scientific,0.0071174377224199285,2.8622775800711744,20
39,Arcane Industries,0.34,136.26,17
40,Jürgen Schoos Export Gmbh,0.0,0.0,0
41,Feralco Deutschland Gmbh,0.0,0.0,0
42,Skova Pharmachems,0.0,0.0,0
43,Dukat Wiesława Partyka,0.0,0.0,0
44,neoFroxx GmbH,0.04,16.672307692307694,26
45,Life Chemicals Europe Gmbh,0.0,0.0,0
46,Cf Plus Chemicals S.R.O.,0.0,0.0,0
47,Dr. Felix Jäger Chemikalienhandel,1.0,308.5,6
48,Organica Feinchemie Gmbh Wolfen,0.0,0.0,0
49,Pp Polymer Ab,0.0,0.0,0
50,Erich Slupetzky Gesmbh,0.0,0.0,0
51,Borealis AG,0.0,0.0,0
52,INFINIUM PHARMACHEM LIMITED,0.0,0.0,0
53,Jebsen & Jessen Life Science Gmbh,0.10344827586206896,35.86206896551724,3
54,Terra Nostra Gmbh,0.0,0.0,0
55,Cremer Oleo Gmbh & Co. Kg,1.0,545.0,1
56,Satcotek Gmbh,0.03225806451612903,11.935483870967742,1
57,Stand-Chem Kft.,0.35294117647058826,141.47058823529412,18
58,Synhet - Synthetic Heterocycles,0.0,0.0,0
59,Becker Industrielack Gmbh,0.2,49.0,1
60,Aston Chemicals Ltd,0.0,0.0,0
61,888 Raw Plastic Supplies,0.0,0.0,0
62,Esterpol,0.0,0.0,0
63,ProLab GmbH,0.0,0.0,0
64,OQEMA AG,0.0274949083503055,11.368635437881874,27
65,Nimaco Chemicals,0.0,0.0,0
66,Jobachem Gmbh,0.011904761904761904,5.761904761904762,1
67,Green Italy Srl,0.0,0.0,0
68,Tauroquimica,0.0,0.0,0
69,Kaffe Bueno Aps,0.0,0.0,0
70,KESVI MAXIPLE LLP,0.044585987261146494,20.388535031847134,7
71,Bozzetto Group,0.1111111111111111,88.33333333333333,1
72,Gama (York) Ltd,0.5,397.5,1
73,Balthemis,0.625,322.875,10
74,Halopolymer,0.06666666666666667,27.933333333333334,1
75,Ismaco,0.0,0.0,0
76,biolla chemicals GmbH,0.012732615083251714,5.592556317335945,13
77,Synthese Nord,0.0,0.0,0
78,Cortex Chemicals sp. z o.o.,0.0,0.0,0
79,Wolf Niemz - Ätherische Öle,0.0022026431718061676,0.7455947136563876,2
80,Standard Water srl,1.0,388.0,1
81,"Comercial Coll Vila 324, S.L.",0.0,0.0,0
82,Grillo-Werke AG,0.0,0.0,0
83,Oliver Rubber Industries LLP,0.0,0.0,0
84,H3B SRL,0.6,289.2,3
85,KRENDALL srl,0.0070921985815602835,2.7375886524822697,1
86,"Dmitrievsky Chemical Plant – Production, LLC",0.391304347826087,167.43478260869566,9
87,Wacker Chemie AG,0.0,0.0,0
88,AyTrade LTD,0.0,0.0,0
89,International Solvent Solutions BV,0.09259259259259259,33.675925925925924,20
90,Same Chemicals BV,0.2127659574468085,77.68085106382979,20
91,Particular Materials srl,0.0,0.0,0
92,City Chem Shanghai Limited,0.05734767025089606,25.516129032258064,16
93,Chem2Market GmbH,0.0,0.0,0
94,Helio Beit Pigmentpasten GmbH,0.0,0.0,0
95,CP International Chemicals Ltd,0.0,0.0,0
96,Cure Biochem,0.0,0.0,0
97,NUCLEUS KIMYA,0.0,0.0,0
98,OOO SIBUR,0.10869565217391304,28.630434782608695,5
99,Industrial Mineral Services Ltd,0.0,0.0,0
100,Penta Chemicals,0.12,52.62,12
101,ELM Kimya A.S.,0.16666666666666666,152.16666666666666,1
102,Poliver s.r.l.,0.0,0.0,0
103,Polbalt sp. z o. o.,0.5,456.5,1
104,distripark.com Sp. z o.o.,0.13989637305699482,56.056994818652846,27
105,Klaus F. Meyer GmbH,0.018518518518518517,4.722222222222222,2
106,Penpet Petrochemical Trading GmbH,0.16129032258064516,76.11290322580645,10
107,DutCH2 B.V.,0.37037037037037035,150.0,10
108,LIQUICHEM Handelsgesellschaft mbH,0.3333333333333333,115.4,5
109,Currie Marketing Ltd,0.0,0.0,0
110,Kolb Distribution Ltd.,0.043478260869565216,10.173913043478262,1
111,R.A.W. Minerals B.V.,0.0,0.0,0
112,Rashtriya Chemical and Minerals,0.0,0.0,0
113,GETEC PARK SWISS AG,0.3333333333333333,121.5,2
114,Livchem Logistics GmbH,0.0036483035388544327,1.6745713243341847,10
115,Prakash Chemicals International Pvt Ltd,0.1896551724137931,82.46551724137932,11
116,Wegochem Europe BV,0.018867924528301886,7.359669811320755,16
117,Azelis Deutschland Kosmetik GmbH,0.15625,67.65625,5
118,Innua Europe Ltd,0.038461538461538464,30.576923076923077,1
119,Emertle Chemical Solutions,0.3125,120.15625,10
120,Bernd Schwegmann GmbH & Co. KG,0.0,0.0,0
121,Wistema GmbH,0.0,0.0,0
122,Viaton Europe GmbH,0.0,0.0,0
123,Keminntek Laboratories,0.0,0.0,0
124,San Nature,0.0,0.0,0
125,Waldis UAB,0.0,0.0,0
126,Amitek Infra Pvt. Ltd.,0.0,0.0,0
127,SBZ Corporation Ltd,0.0,0.0,0
128,Alantum Europe GmbH,0.0,0.0,0
129,Equilex Chemicals B.V.,0.10344827586206896,36.0,3
130,Global Company for Chemical Industries,0.0,0.0,0
131,ViVoChem B.V.,0.0926517571884984,36.61980830670927,29
132,Vertellus Specialties Austria GmbH,0.0,0.0,0
133,Solberg Industri AS,0.4666666666666667,195.4,7
134,MINERALCOMERS AD,0.0,0.0,0
135,WhitChem Limited,0.125,48.25,1
136,Meghna Colour Chem,0.0,0.0,0
137,POLWAX S.A.,0.0,0.0,0
138,Scotswood Chemicals Ltd,0.2727272727272727,137.54545454545453,3
139,Pavezyum Kimya San. Dis. Tic. A.S,0.0,0.0,0
140,Connect Chemicals GmbH,0.0064794816414686825,3.4535637149028076,3
141,BERKIM KAUCUK PLASTIK KIMYA SAN VE TIC AS,0.0,0.0,0
142,Alcochem Minerals BV,0.0,0.0,0
143,Triconor Distribution GmbH,0.0,0.0,0
144,OQEMA B.V.,0.4090909090909091,179.77272727272728,9
145,Bodotex A/S,0.1724137931034483,89.6896551724138,5
146,Brenntag GmbH,0.06018518518518518,23.11574074074074,13
147,East Harbour Group Ltd,0.1111111111111111,54.125,8
148,Vollmer Chemie Vertriebs-GmbH,0.5454545454545454,175.0,6
149,JSC KAUSTIK,0.5,355.0,1
150,TER Chemicals – BU Life Science,0.06382978723404255,27.78723404255319,6
151,Emery Oleochemicals,0.0,0.0,0
152,Völpker Spezialprodukte GmbH,0.0,0.0,0
153,Faravelli GmbH,0.023076923076923078,6.461538461538462,3
154,Alumina doo,0.0,0.0,0
155,Performance Additives Europe GmbH,0.0,0.0,0
156,Chemconserve BV,0.0,0.0,0
157,Wintzell & Fried,0.0,0.0,0
158,UPL Ltd,0.0,0.0,0
159,Phoenix Chemicals Trading Sp.z o.o.,0.2857142857142857,122.61904761904762,6
160,Kemiatech,0.3333333333333333,181.66666666666666,1
161,FIBB sistemi d.o.o.,0.0,0.0,0
162,Greyhound Chromatography and Allied Chemicals Ltd,0.4166666666666667,177.16666666666666,5
163,CABAMIX,0.0,0.0,0
164,Vedra S.R.L.,0.6666666666666666,348.6666666666667,2
165,Hobum Oleochemicals GmbH,0.0,0.0,0
166,CP Metal Chemicals B.V.,0.3333333333333333,104.66666666666667,1
167,"Agrakem Quimicos, SL",0.0,0.0,0
168,Keeling & Walker Ltd.,0.0,0.0,0
169,ANNO Chemicals nv,0.17391304347826086,66.5304347826087,20
170,INVISTA Polyester B.V.,1.0,232.0,1
171,Norchem Polyesters LLC,0.07142857142857142,16.714285714285715,1
172,Titandix Vertriebs GmbH,0.2,77.2,1
173,PROPLAST KIMYEVİ MADDELER SAN. TİC. LTD. STI.,0.044444444444444446,11.622222222222222,2
174,Laboratorios Argenol SL,0.0,0.0,0
175,BOC Sciences,0.003986048829098156,1.3692077727952168,8
176,ALDROIN SL,0.4,152.4,4
177,KRAHN CHEMIE POLSKA Sp. z o.o.,0.5,193.0,1
178,Top Agrochem,0.04310344827586207,17.146551724137932,15
179,Will & Co BV,0.0,0.0,0
180,Pro-Eko Srl,0.0,0.0,0
181,Alfa Chemistry,0.0010427528675703858,0.2440041710114703,1
182,Lithos Natural GmbH,0.0,0.0,0
183,ARKEM Chemicals,0.25,95.7,15
184,ADD-Chem Germany GmbH,0.0,0.0,0
185,Sagar Speciality Chemicals Private Limited,0.0,0.0,0
186,Caramba Bremen GmbH,0.5,240.0,1
187,Sunkem A.Ş.,0.0,0.0,0
188,VladaChem GmbH,0.002586652871184687,1.0215554405932057,30
189,ALDODEI 1946 di Giacomo Bertolio D.I.,0.0,0.0,0
190,QP Germany OHG,0.0,0.0,0
191,"Canaltravel Exports, S.L.",0.0,0.0,0
192,CID,0.0,0.0,0
193,LKAB Minerals B.V.,0.0,0.0,0
194,C5 Innovation Aps,0.0,0.0,0
195,Shakti Chemical Industries,0.0,0.0,0
196,MOLAR bvba,0.3333333333333333,139.6060606060606,22
197,Integrated Chemicals Specialties BV,0.0,0.0,0
198,Inchem Kimya Sanayi ve Dis Ticaret Limited Sirketi,0.25,58.5,1
199,B M Paper Packaging,0.0,0.0,0
200,The Masterbatch Company,0.0,0.0,0
201,Sheri Trading Co,0.03225806451612903,12.451612903225806,1
202,B.T.G. - SOL GROUP,0.0,0.0,0
203,Eninco Engineering B.V.,0.0,0.0,0
204,Teknova Matbaacilik Kimya Sanayi ve Ticaret A. Ş.,0.09090909090909091,35.09090909090909,1
205,Baltic Composites and Fragrance,0.0,0.0,0
206,Aldur Maden Ltd Sti,0.0,0.0,0
207,SACEA S.R.L.,0.0,0.0,0
208,Zeolites Production,0.0,0.0,0
209,Beckmann-Kenko GmbH,0.021834061135371178,9.379912663755459,5
210,Resiplast,0.2,49.0,1
211,Sova Chemicals Co,0.0,0.0,0
212,Coftech GmbH,0.0,0.0,0
213,Perechyn Timber Chemical Plant,0.2857142857142857,183.28571428571428,2
214,HELM AG,0.4090909090909091,168.13636363636363,9
215,SYMBIAGRO SRL,0.0,0.0,0
216,Vagdevi InnoScience Private Limited,0.0,0.0,0
217,Dominik Georg Luh Technografit GmbH,0.0,0.0,0
218,Jenrashid Consultants,0.0,0.0,0
219,EcoSphere Speciality,0.07692307692307693,19.76923076923077,1
220,SYNERGY COMMODITIES LTD,1.0,710.0,1
221,INTERPUR CHEMICALS S.L.U,0.057692307692307696,15.26923076923077,3
222,Punjab Rosin & Chemicals Works,0.0,0.0,0
223,Superior Spirits Ltd,1.0,489.5,4
224,Healy Group Europe B.V.,0.0,0.0,0
225,XP Chemistries AB,0.0,0.0,0
226,SHREE GANESH ENTERPRISES,0.0,0.0,0
227,Salicylates and Chemicals Pvt. Ltd.,0.0,0.0,0
228,Mertler End. Mad. Teks San. ve Tic. Ltd. Şti.,0.0,0.0,0
229,Calibre Chemicals Pvt Ltd.,0.0,0.0,0
230,La Hemija doo,0.0,0.0,0
231,Matrix Fine Chemicals GmbH,0.0,0.0,0
232,Metakern Latvia SIA,0.0,0.0,0
233,industrial protective paints ltd,0.0,0.0,0
234,KEMAT,0.0,0.0,0
235,Kreide-Farbenwerk Rügen GmbH,0.0,0.0,0
236,iStrategia,0.0,0.0,0
237,Tricura GmbH & Co.KG,0.19148936170212766,77.36170212765957,9
238,Universal Chemicals,0.0,0.0,0
239,"SILON, s.r.o.",0.3333333333333333,128.66666666666666,1
240,Denkim Denizli Kimya A.Ş.,0.0,0.0,0
241,Yillar Madencilik iç ve dış tic san ltd şti.,1.0,480.0,1
242,SHAKTI CHEMICALS,0.0,0.0,0
243,Alumichem,0.0,0.0,0
244,Paxymer AB,0.0,0.0,0
245,VAC minerais,0.0,0.0,0
246,"UAB ""Transoila""",0.42857142857142855,224.28571428571428,6
247,ANV Trader,0.0,0.0,0
248,BRIJESH CHEMICALS,0.0,0.0,0
249,Konimpex Chemicals Sp. z o.o.,0.046511627906976744,19.069767441860463,2
250,JAL AQUA INTERNATIONAL,0.0,0.0,0
251,Stephan Schmidt KG,0.0,0.0,0
252,DC Solutions s.r.o.,0.0,0.0,0
253,Eksotein GmbH,1.0,480.0,1
254,Gujarat Metals And Chemicals Company,0.3333333333333333,154.44444444444446,3
255,PJSC Pigment,0.0,0.0,0
256,SERDAROGLU GRUBU A.Ş.,0.0,0.0,0
257,Brenntag UK and Scandinavia,0.09734513274336283,36.52212389380531,11
258,A. + E. Fischer-Chemie GmbH Co. KG,0.23809523809523808,100.78571428571429,20
259,LEPID LIFE SCIENCES PVT LTD,0.0,0.0,0
260,20 Microns Limited,0.0,0.0,0
