#,company_name,substance_name,cas_number,company_id
1,Cenik Chemicals,"10,12-Pentacosadiynoic Acid",66990-32-7,26063
2,Cenik Chemicals,10-Bromo-1-Decanol,53463-68-6,26063
3,"Zhejiang ZETian Fine Chemicals Co.,Ltd",10-Bromo-1-Decanol,53463-68-6,17191
4,"Zhejiang ZETian Fine Chemicals Co.,Ltd",10-Chloro-1-Decanol,51309-10-5,17191
5,"Zhejiang ZETian Fine Chemicals Co.,Ltd",(10-phenylanthracen-9-yl)boronic acid,334658-75-2,17191
6,Cenik Chemicals,"1,10-Decanediol",112-47-0,26063
7,Cenik Chemicals,"1,10-Dibromodecane",4101-68-2,26063
8,Cenik Chemicals,"1,10-phenanthroline-4,7-diol",3922-40-5,26063
9,Cenik Chemicals,"1,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10-henicosafluoro-12-iodododecane",2043-54-1,26063
10,Cenik Chemicals,"1,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8-Heptadecafluorotetracosane",117146-18-6,26063
11,Cenik Chemicals,"1,1,1,2,2,3,3,4,4,5,5,6,6,7,7-pentadecafluoro-7-iodoheptane",335-58-0,26063
12,Cenik Chemicals,"1,1,1,2,2,3,3,4,4,5,5,6,6,7,7-pentadecafluoro-9-iodononane",2043-52-9,26063
13,Cenik Chemicals,"1,1,1,2,2,3,3,4,4,5,5,6,6-tridecafluoro-8-iodononane",38550-34-4,26063
14,Cenik Chemicals,"1,1,1,2,2,3,3,4,4,5,5-undecafluoro-5-iodo",638-79-9,26063
15,Cenik Chemicals,"1,1,1,2,2,3,3-heptachloropropane",594-89-8,26063
16,Cenik Chemicals,"1,1,1,2,2,3,3-Heptafluoro-5-iodopentane",1513-88-8,26063
17,Cenik Chemicals,"1,1,1,2,3,3,3-Heptafluoro-2-iodopropane",677-69-0,26063
18,Cenik Chemicals,"1,1,1,2,3,3,3-heptafluoro-2-(trifluoromethyl)propane",354-92-7,26063
19,Cenik Chemicals,"1,1,1,2,3,3,4,4,5,5,6,6,7,7,8,8-hexadecafluoro-8-iodo-2-(trifluoromethyl)octane",865-77-0,26063
20,Cenik Chemicals,"1,1,1,2,3,3-hexafluoropropane",431-63-0,26063
21,Cenik Chemicals,"1,1,1,3,3,3-Hexafluoro-2-(fluoromethoxy)propane",28523-86-6,26063
22,Cenik Chemicals,"1,1,1,3,3,3-Hexafluoro-2-methoxypropane",13171-18-1,26063
23,Cenik Chemicals,"1,1,1,3,3,3-Hexafluoropropan-2-ol",920-66-1,26063
24,"Zhejiang ZETian Fine Chemicals Co.,Ltd","1,1,1,3,3,3-Hexafluoropropan-2-ol",920-66-1,17191
25,Cenik Chemicals,"1,1,1,3,3,3-Hexamethyldisilazane",999-97-3,26063
26,"Zhejiang ZETian Fine Chemicals Co.,Ltd","1,1,1,3-tetrachloropropane",1070-78-6,17191
27,Cenik Chemicals,"1,1,1,4,4,4-hexafluorobut-2-yne",692-50-2,26063
28,Cenik Chemicals,"1,1,1,5,5,6,6,6-Octafluoro-2,4-hexanedione",20825-07-4,26063
29,"Zhejiang ZETian Fine Chemicals Co.,Ltd","11-(1-Methylpiperidin-4-Ylidene)-6,11-Dihydro-5H-Benzo[D]Imidazo[1,2-A]Azepine",147083-36-1,17191
30,Cenik Chemicals,"1,1',1''-Nitrilotripropan-2-ol",122-20-3,26063
31,Mikro Teknik Kimyevi Maddeler Lab. Malz. Cihazları San. ve Tic. Ltd Sti.,"1,1',1''-Nitrilotripropan-2-ol",122-20-3,19413
32,Cenik Chemicals,"1,1,1-Trichloro-2-Methyl-2-Propanol Hemihydrate",6001-64-5,26063
33,Cenik Chemicals,"1,1,1-Trifluoro-3-phenyl-2-propanone",350-92-5,26063
34,Cenik Chemicals,"1,1,1-Trifluoro-4-iodobutane",461-17-6,26063
35,Cenik Chemicals,"1,1,1-trifluoro-5,5-dimethylhexane-2,4-dione",22767-90-4,26063
36,Cenik Chemicals,"1,1,1-trifluorohexane-2,4-dione",400-54-4,26063
37,INFINIUM PHARMACHEM LIMITED,"1,1,1-Trifluoroiodoethane",16355-92-3,734
38,Cenik Chemicals,"1,1,1-trifluoro-N-phenyl-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",37595-74-7,26063
39,Cenik Chemicals,"1,1,1-trifluoropentane-2,4-dione",367-57-7,26063
40,"Zhejiang ZETian Fine Chemicals Co.,Ltd","1,1,1-trifluoropentane-2,4-dione",367-57-7,17191
41,Cenik Chemicals,"1,1,1-trimethoxybutane",43083-12-1,26063
42,"Zhejiang ZETian Fine Chemicals Co.,Ltd","1,11-Undecanediol",765-04-8,17191
43,Cenik Chemicals,"1,1,2,2,3,3,4,4,4-nonafluorobutane-1-sulphonyl fluoride",375-72-4,26063
44,Cenik Chemicals,"1,1,2,2,3,3,4,5,5,6-Decafluoro-4,6-bis(trifluoromethyl)cyclohexane",335-27-3,26063
45,Cenik Chemicals,"1,1,2,2,3,4-hexafluoro-3,4-bis(trifluoromethyl)cyclobutane",2994-71-0,26063
46,2M-SOLUTION GmbH,"1,1,2,2-tetrachloroethane",79-34-5,60458
47,Cenik Chemicals,"1,1,2,2-tetrafluoro-1-methoxyethane",425-88-7,26063
48,Cenik Chemicals,"1,1,2,2-Tetrafluoro-3-iodopropane",679-87-8,26063
49,Cenik Chemicals,"1,1,2,2-Tetramethyldiphosphane 1,2-disulfide",3676-97-9,26063
50,Cenik Chemicals,"1,12-Diaminododecane",2783-17-7,26063
