#,product_name,company_name,substance_name,cas_number,company_id
1,100% ACTIVE SILICONE FREE ANTIFOAM DEFOAMER FOR OXIDATION TANKS WATER TREATMENT: CPL 2907,Silitex s.r.l.,,,53303
2,100% PLANT BASED ANTIFOAM DEFOAMER: FISIOREX 1000,Silitex s.r.l.,,,53303
3,"10,11-Dihydro-dibenz[b,f]azepine-5-carbonyl chlori",Chemical Point Italia s.r.l,Iminodibenzylcarbonyl Chloride,33948-19-5,55523
4,"10,12-Pentacosadiynoic Acid",Cenik Chemicals,"10,12-Pentacosadiynoic Acid",66990-32-7,26063
5,"(+)-10,2-Camphorsultam",Chemical Point Italia s.r.l,"(+)-10,2-Camphorsultam",108448-77-7,55523
6,10-bromo-1-decanol,Cenik Chemicals,10-Bromo-1-Decanol,53463-68-6,26063
7,10-Bromo-1-decanol,"Zhejiang ZETian Fine Chemicals Co.,Ltd",10-Bromo-1-Decanol,53463-68-6,17191
8,10-Camphorsulfonic acid sodium salt,Chemical Point Italia s.r.l,10-Camphorsulfonic Acid Sodium Salt,34850-66-3,55523
9,10-Chloro-1-decanol,"Zhejiang ZETian Fine Chemicals Co.,Ltd",10-Chloro-1-Decanol,51309-10-5,17191
10,"10H-Pyrido[3,2-b][1,4]benzothiazine",Chemical Point Italia s.r.l,1-Azaphenothiazine,261-96-1,55523
11,10-Hydroxydecanoic acid,Chemical Point Italia s.r.l,10-Hydroxydecanoic Acid,1679-53-4,55523
12,10 MFI PP COMPOUND,ELM Kimya A.S.,Polypropylene (PP),9003-07-0,1414
13,(10-Phenylanthracen-9-yl)boronic acid,"Zhejiang ZETian Fine Chemicals Co.,Ltd",(10-phenylanthracen-9-yl)boronic acid,334658-75-2,17191
14,10-Undecen-1-ol,Chemical Point Italia s.r.l,Undec-10-en-1-ol,112-43-6,55523
15,10-Undecenoic acid,Chemical Point Italia s.r.l,Undecenoic Acid,112-38-9,55523
16,10-Undecynoic acid,Chemical Point Italia s.r.l,Undec-10-Ynoic Acid,2777-65-3,55523
17,10-UNDECYNOIC ACID,Cenik Chemicals,Undec-10-Ynoic Acid,2777-65-3,26063
18,"1,10-Decanediol",Cenik Chemicals,"1,10-Decanediol",112-47-0,26063
19,"1,10-Decanediol",Chemical Point Italia s.r.l,"1,10-Decanediol",112-47-0,55523
20,"1,10-Dichlorodecane",Chemical Point Italia s.r.l,"1,10-dichlorodecane",2162-98-3,55523
21,"1,10-Diiododecane",Chemical Point Italia s.r.l,"1,1,1-Trifluoroiodoethane",16355-92-3,55523
22,"1,10-Diiododecane",INFINIUM PHARMACHEM LIMITED,"1,1,1-Trifluoroiodoethane",16355-92-3,734
