,company,in_trial,has_signed_up,company_top_500_product_count,company_top_500_request_count,total_substance_request_count_based_on_company_substances,total_substance_offers_count_based_on_company_substances,avg_requests_per_product,market_share_requests,market_request_to_offer_cr,Product Density Score,Requests Density Score,Match Count
0,VladaChem GmbH,No,Yes,7655,2192,68507,14395,0,0.03,0.19,0.002586652871184687,1.0215554405932057,30.0
1,Traditem GmbH,No,Yes,869,1699,56820,13001,2,0.03,0.23,0.036931818181818184,14.818181818181818,26.0
2,Penta Italia Export SRL,No,Yes,656,721,55930,13450,1,0.01,0.24,0.08630952380952381,34.11309523809524,29.0
3,Häffner GmbH & Co. KG,No,Yes,833,2881,55305,12719,3,0.05,0.23,0.06263982102908278,25.154362416107382,28.0
4,AG Chemi Group,No,No,2424,457,55089,12764,0,0.01,0.23,0.03430749682337993,13.947903430749683,27.0
5,Molekula GmbH,No,Yes,4238,1977,53369,12426,0,0.04,0.22,0.006923837784371909,2.799950544015826,28.0
6,Hanke + Seidel GmbH & Co. KG,No,No,399,326,52987,12312,1,0.01,0.23,0.06896551724137931,27.236781609195404,30.0
7,Julius Hoesch GmbH & Co. KG,No,Yes,655,324,52281,12286,0,0.01,0.23,0.0684931506849315,27.050228310502284,30.0
8,Cenik Chemicals,Yes,Yes,3824,1313,49460,11420,0,0.03,0.22,0.006532235160465777,2.628514626526555,23.0
9,"OQEMA, s.r.o.",No,No,564,551,49302,11896,1,0.01,0.24,0.08934707903780069,35.549828178694156,26.0
10,Swasti Exports,No,No,929,1123,48814,11455,1,0.02,0.23,0.04945054945054945,19.714285714285715,27.0
11,neoFroxx GmbH,No,Yes,1357,368,48802,11377,0,0.01,0.23,0.04,16.672307692307694,26.0
12,BÜFA Chemikalien GmbH & Co. KG,No,No,416,1381,47575,11065,3,0.03,0.23,0.0979020979020979,37.2972027972028,28.0
13,Centro-Chem,No,Yes,262,1819,44996,10755,7,0.04,0.24,0.11392405063291139,46.86497890295359,27.0
14,Rebain International (España) S.L.,No,No,210,409,44968,10558,2,0.01,0.23,0.15168539325842698,61.45505617977528,27.0
15,Borma Chemical Products Trading Company B.V.,No,No,252,62,44771,10253,0,0.0,0.23,0.12376237623762376,48.71287128712871,25.0
16,Mikro Teknik Kimyevi Maddeler Lab. Malz. Cihazları San. ve Tic. Ltd Sti.,Yes,No,174,427,44646,10573,2,0.01,0.24,0.1891891891891892,75.95945945945945,28.0
17,Wegochem Europe BV,No,Yes,833,2510,42932,9115,3,0.06,0.21,0.018867924528301886,7.359669811320755,16.0
18,OQEMA AG,No,No,623,690,42875,10551,1,0.02,0.24,0.0274949083503055,11.368635437881874,27.0
19,OQEMA AG,No,No,623,690,42875,10551,1,0.02,0.24,0.051224944320712694,21.178173719376392,23.0
20,UAB Oqema,No,No,349,401,42786,10595,1,0.01,0.25,0.10084033613445378,41.50840336134454,24.0
21,Rebain International (NL) B.V.,No,Yes,144,1320,41950,9957,9,0.03,0.24,0.2109375,85.4609375,27.0
22,Nilkim Teknik Kimya san.Tic. Limited Şirketi,No,No,160,505,40843,9778,3,0.01,0.24,0.16993464052287582,67.39869281045752,26.0
23,OQEMA Sp. z o.o.,No,No,337,355,40633,10202,1,0.01,0.25,0.10176991150442478,42.075221238938056,23.0
24,Oqema EOOD,No,No,336,269,40633,10202,1,0.01,0.25,0.10222222222222223,42.26222222222222,23.0
25,Novochem Ltd.,No,No,333,61,40585,10200,0,0.0,0.25,0.1031390134529148,42.64125560538117,23.0
26,OQEMA d.o.o.,No,No,336,221,39679,10039,1,0.01,0.25,0.09821428571428571,41.080357142857146,22.0
27,Feroce Trading B.V.,No,No,185,35,38457,9261,0,0.0,0.24,0.13333333333333333,53.50909090909091,22.0
28,MAVICHAMP SL,No,No,178,27,38042,9617,0,0.0,0.25,0.12804878048780488,50.25,21.0
29,FS DIS TICARET A.S,No,No,115,500,38008,8983,4,0.01,0.24,0.24299065420560748,92.92523364485982,26.0
30,Molenhuis BV,No,No,120,13,37338,9695,0,0.0,0.26,0.21367521367521367,87.25641025641026,25.0
31,VICCOR INDUSTRY,No,No,839,0,36262,8644,0,0.0,0.23,0.025412960609911054,10.564167725540026,20.0
32,City Chem Shanghai Limited,No,No,305,197,35944,8226,1,0.01,0.23,0.05734767025089606,25.516129032258064,16.0
33,CVH Chemie-Vertrieb GmbH & Co. Hannover KG,No,No,172,266,35383,8935,2,0.01,0.25,0.25263157894736843,101.66315789473684,24.0
34,ViVoChem B.V.,No,Yes,99,1494,35200,9038,15,0.04,0.26,0.0926517571884984,36.61980830670927,29.0
35,International Solvent Solutions BV,No,Yes,269,1619,34498,6867,6,0.05,0.2,0.09259259259259259,33.675925925925924,20.0
36,Syskem Chemie Gmbh,No,No,468,641,33379,7823,1,0.02,0.23,0.06430868167202572,25.366559485530548,20.0
37,JVS Chemicals SPRL,No,No,114,2,33162,8092,0,0.0,0.24,0.19444444444444445,84.61111111111111,21.0
38,CORQUIMIA INDUSTRIAL SL,No,Yes,399,336,32666,7831,1,0.01,0.24,0.0625,26.790441176470587,17.0
39,Chemical Point Italia s.r.l,No,Yes,9195,670,32578,6084,0,0.02,0.15,0.0015225666122892876,0.4871125611745514,14.0
40,distripark.com Sp. z o.o.,No,Yes,230,2566,32317,8610,11,0.08,0.27,0.13989637305699482,56.056994818652846,27.0
41,MOLAR bvba,No,No,89,360,31699,7983,4,0.01,0.25,0.3333333333333333,139.6060606060606,22.0
42,Bilgram Chemie GmbH,Yes,No,154,34,31563,8502,0,0.0,0.27,0.15126050420168066,67.90756302521008,18.0
43,Preparados Quimicos De Navarra S.L.,No,Yes,186,1865,31470,9273,10,0.06,0.29,0.14285714285714285,63.41353383458647,19.0
44,ANNO Chemicals nv,No,No,155,939,31299,6737,6,0.03,0.22,0.17391304347826086,66.5304347826087,20.0
45,Mavi Kimya,No,Yes,72,375,29944,7402,5,0.01,0.25,0.2835820895522388,121.68656716417911,19.0
46,Trading House Energostroyinvest,No,No,163,91,29056,7675,1,0.0,0.26,0.09333333333333334,43.906666666666666,14.0
47,Trim Teknoloji ve Servis A.S..,No,No,107,342,28912,6683,3,0.01,0.23,0.24390243902439024,106.39024390243902,20.0
48,SOC DE PRODUITS CHIMIQUES DE LORRAINE,No,No,87,8,28858,7362,0,0.0,0.25,0.20481927710843373,96.63855421686748,17.0
49,Yigitoglu Kimya,No,Yes,85,953,27887,7885,11,0.03,0.28,0.2631578947368421,117.11842105263158,20.0
50,Same Chemicals BV,No,Yes,194,1586,27549,5759,8,0.06,0.21,0.2127659574468085,77.68085106382979,20.0
51,Bang&Bonsomer Group Oy,Yes,No,100,2,27077,7394,0,0.0,0.27,0.24,106.70666666666666,18.0
52,Elite Chemicals Kimya San.ve Tic.A.S,No,No,72,100,27066,6914,1,0.0,0.26,0.25,106.56944444444444,18.0
53,Hua-Chem,No,Yes,251,448,26677,5553,2,0.02,0.21,0.07462686567164178,32.527363184079604,15.0
54,Stand-Chem Kft.,No,No,53,93,26586,5965,2,0.0,0.22,0.35294117647058826,141.47058823529412,18.0
55,Möller Chemie GmbH & Co. KG,No,Yes,194,1119,26311,5723,6,0.04,0.22,0.12408759124087591,48.51094890510949,17.0
56,peri kimya,No,No,52,471,26170,6577,9,0.02,0.25,0.3829787234042553,163.4255319148936,18.0
57,biolla chemicals GmbH,No,Yes,522,1193,26104,6050,2,0.05,0.23,0.012732615083251714,5.592556317335945,13.0
58,STOCKMEIER Chemie GmbH & Co. KG,No,No,48,26,25686,6981,1,0.0,0.27,0.1111111111111111,42.81196581196581,26.0
59,A. + E. Fischer-Chemie GmbH Co. KG,No,No,284,632,25509,7299,2,0.02,0.29,0.23809523809523808,100.78571428571429,20.0
60,IntraChem Limited,No,Yes,21970,833,25506,5572,0,0.03,0.12,0.00045591319412783806,0.14794383149448345,10.0
61,Livchem Logistics GmbH,No,No,4739,1272,24903,5167,0,0.05,0.19,0.0036483035388544327,1.6745713243341847,10.0
62,Top Agrochem,No,No,392,808,24685,5348,2,0.03,0.21,0.04310344827586207,17.146551724137932,15.0
63,STOCKMEIER CHEMICALS BELUX N.V.,No,No,78,16,24079,6357,0,0.0,0.26,0.25396825396825395,106.52380952380952,16.0
64,MRM Chemicals SP ZOO,No,No,28,105,23892,6712,4,0.0,0.28,0.6666666666666666,310.962962962963,18.0
