Product Product Name,Substance Cas Number,Substance Substance Name,Product Total Number of Requests
Urea,57-13-6,Urea,380
Acetone,67-64-1,Acetone,321
Xylene,1330-20-7,Xylene,161
Toluene,108-88-3,Toluene,142
Ethyl Acetate,141-78-6,Ethyl Acetate,137
Isopropanol-Isopropyl alcohol,67-63-0,Isopropanol,130
Iso Propyl Alcohol (IPA),67-63-0,Isopropanol,121
Methylene Chloride,75-09-2,Methylene Chloride,117
UREA TECHNICAL,57-13-6,Urea,113
Methanol,67-56-1,Methanol,111
Hydrogen Peroxide,7722-84-1,Hydrogen Peroxide,109
CITRIC ACID MONOHYDRATE,5949-29-1,Citric Acid Monohydrate,108
Butyl Glycol (BG),111-76-2,2-Butoxyethanol,108
Citric Acid Monohydrate,5949-29-1,Citric Acid Monohydrate,107
Butyl Acetate (BUTAC),123-86-4,n-Butyl Acetate,106
Isopropanol,67-63-0,Isopropanol,99
Hydrogen Peroxide 49.5%,7722-84-1,Hydrogen Peroxide,94
Titanium Dioxide,13463-67-7,Titanium Dioxide,92
Citric Acid Anhydrous,77-92-9,Citric Acid,89
Mono Propylene Glycol (MPG),57-55-6,Propylene Glycol,85
TITANIUM DIOXIDE NR960,1317-80-2,Titanium Dioxide (Rutile),85
Maleic Anhydride,108-31-6,Maleic Anhydride,81
Butyl Di Glycol (BDG),112-34-5,2-(2-Butoxyethoxy)ethanol,79
Tetrahydrofuran (THF),109-99-9,Tetrahydrofuran,78
Isopropyl alcohol (Isopropanol) (IPA),67-63-0,Isopropanol,74
Methyl Acetate,79-20-9,Methyl Acetate,74
Ethanol,64-17-5,Ethanol,73
Monoethylene Glycol (MEG),107-21-1,"Ethane-1,2-diol",72
Benzyl Alcohol,100-51-6,Benzyl Alcohol,69
Mono Ethylene Glycol (MEG),107-21-1,"Ethane-1,2-diol",69
Sodium Bicarbonate,144-55-8,Sodium Bicarbonate,68
"Phosphoric Acid, 85%",7664-38-2,Phosphoric Acid,67
PHOSPHORIC ACID 85% - 75% available,7664-38-2,Phosphoric Acid,67
"Sodium hydroxide, Caustic Soda - liquid 50 %",1310-73-2,Sodium Hydroxide,66
"Phosphoric acid, 85% orthophosphoric",7664-38-2,Phosphoric Acid,65
Vinyl Acetate Monomer (VAM),108-05-4,Vinyl Acetate,63
Isopropyl Alcohol,67-63-0,Isopropanol,63
Cyclohexanone,108-94-1,Cyclohexanone,62
Triacetin,102-76-1,Triacetin,61
Aceton,67-64-1,Acetone,60
Citric Acid,77-92-9,Citric Acid,58
Xanthan gum 80 E415,11138-66-2,Xanthan Gum,58
POTASSIUM HYDROXIDE,1310-58-3,Potassium Hydroxide,56
TITANIUM DIOXIDE R-2196,1317-80-2,Titanium Dioxide (Rutile),55
ACETONE,67-64-1,Acetone,55
Methylenchlorid,75-09-2,Methylene Chloride,55
HYDROCHLORIC ACID 32%,7647-01-0,Hydrogen Chloride,55
Caustic Soda Flakes,1310-73-2,Sodium Hydroxide,54
Hydrogen peroxide 50 %,7722-84-1,Hydrogen Peroxide,52
ETHYL ALCOHOL/IPA,64-17-5,Ethanol,52
UREA,57-13-6,Urea,51
GLYCEROL/GLYCERIN,56-81-5,Glycerol,51
"Sulfuric acid 92-98,6%",7664-93-9,Sulfuric Acid,50
Methyl Ethyl Ketone (MEK),78-93-3,Methyl Ethyl Ketone,50
Sodium Carbonate,497-19-8,Sodium Carbonate,49
Cyclohexane,110-82-7,Cyclohexane,49
Di Methyl Formamide (DMF),68-12-2,"N,N-Dimethylformamide",49
Xanthan Gum,11138-66-2,Xanthan Gum,48
PHOSPHORIC ACID 85%,7664-38-2,Phosphoric Acid,47
Methyl Ethyl Keton (MEK),78-93-3,Methyl Ethyl Ketone,47
Hydrochloric acid synthetic 33 %,7647-01-0,Hydrogen Chloride,47
Sodium sulfide,1313-82-2,Sodium Sulfide,46
Methylene chloride,75-09-2,Methylene Chloride,46
Potassium Hydroxide,1310-58-3,Potassium Hydroxide,46
Butyl Acetate,123-86-4,n-Butyl Acetate,46
Methyl Methacrylate (MMA),80-62-6,Methyl Methacrylate,45
"Caustic Soda, Liquid 50%",1310-73-2,Sodium Hydroxide,45
Magnesium Oxide,1309-48-4,Magnesium Oxide,45
Lithium Carbonate,554-13-2,Lithium Carbonate,45
FERRIC CHLORIDE 40%,7705-08-0,Iron Trichloride,45
PHOSPHORIC ACID,7664-38-2,Phosphoric Acid,44
DMSO,67-68-5,Dimethyl Sulfoxide,44
SODIUM HYDROXIDE 50%,1310-73-2,Sodium Hydroxide,43
SODIUM GLUCONATE,527-07-1,Sodium Gluconate,43
Perchloroethylene,127-18-4,Tetrachloroethylene,43
Boric Acid,10043-35-3,Boric Acid,43
Monoethanolamine (MEA),141-43-5,Ethanolamine,43
Phthalic Anhydride,85-44-9,Phthalic Anhydride,42
Potassium chloride,7447-40-7,Potassium Chloride,42
PHOSPHORIC ACID 75%,7664-38-2,Phosphoric Acid,41
Ethyl Acetate (ETAC),141-78-6,Ethyl Acetate,41
Urea pearls (with anticaking - coated),57-13-6,Urea,40
Anhydrous citric acid,77-92-9,Citric Acid,40
Plant glycerin 99.9% - pharmaceutical grade,56-81-5,Glycerol,40
Phenoxyethanol,122-99-6,Phenoxyethanol,40
Calcium carbonate,471-34-1,Calcium Carbonate,40
Sonnenblumenöl raffiniert,8001-21-6,Sunflower Oil,40
ACETIC ACID 80%,64-19-7,Acetic Acid,39
Adipic Acid,124-04-9,Adipic Acid,39
Phosphoric Acid 75%,7664-38-2,Phosphoric Acid,39
Citric acid monohydrate food grade E330,77-92-9,Citric Acid,39
Formic Acid,64-18-6,Formic Acid,39
Hydrochloric Acid 30%,7647-01-0,Hydrogen Chloride,38
Hydrated citric acid,5949-29-1,Citric Acid Monohydrate,38
Nitric Acid,7697-37-2,Nitric Acid,38
Toluol,108-88-3,Toluene,38
Glycerine 99.5%,56-81-5,Glycerol,38
Ethyl acetate,141-78-6,Ethyl Acetate,38
BUTAC- n-Butyl Acetate (BUTAC),123-86-4,n-Butyl Acetate,38
ISOPROPYL ALCOHOL,67-63-0,Isopropanol,37
Salzsäure 31-33%,7647-01-0,Hydrogen Chloride,37
Butylglycol ( C6H14O2 )99.7%,111-76-2,2-Butoxyethanol,37
Hydrogen peroxide 35 %,7722-84-1,Hydrogen Peroxide,36
UREA (Urea prilled),57-13-6,Urea,36
Xanthan gum,11138-66-2,Xanthan Gum,36
Acrylic Acid,79-10-7,Acrylic Acid,36
Propylene Carbonate,108-32-7,Propylene Carbonate,36
Propylenglykol,57-55-6,Propylene Glycol,36
"Potassium hydroxide, flakes",1310-58-3,Potassium Hydroxide,36
"Formic acid 85%, carboxylic acid",64-18-6,Formic Acid,35
"Urea 40% aqueous solution, technical",57-13-6,Urea,35
Methoxy Propyl Acetate (PMA),108-65-6,1-Methoxy-2-propylacetate,35
HYDROCHLORIC ACID 31%,7647-01-0,Hydrogen Chloride,35
Sulfamic Acid,5329-14-6,Sulphamidic Acid,34
Caustic Soda Sodium hydroxide - flakes,1310-73-2,Sodium Hydroxide,34
Sodium hydrogen carbonate granulate medium (sodiumbicarbonate),144-55-8,Sodium Bicarbonate,34
Methylene Chloride (MCL),75-09-2,Methylene Chloride,33
Caustic Soda Sodium hydroxide - micro pearls,1310-73-2,Sodium Hydroxide,33
Xylene  (isomeren),1330-20-7,Xylene,33
"Glycerin 99,5 %",56-81-5,Glycerol,33
Isopropyl Alcohol 99%,67-63-0,Isopropanol,33
HYDROGEN PEROXIDE 35%,7722-84-1,Hydrogen Peroxide,32
Ethylalcohol 96%,64-17-5,Ethanol,32
Ethylene Glycol,107-21-1,"Ethane-1,2-diol",32
Phosphoric Acid,7664-38-2,Phosphoric Acid,32
DMSO - Dimethylsulfoxid,67-68-5,Dimethyl Sulfoxide,32
Methylene Chloride (Dichloromethane / MCL),75-09-2,Methylene Chloride,32
MPG- Monopropylene Glycol (MPG),57-55-6,Propylene Glycol,32
"Ammonia, aqueous solution (ammonium hydroxide) 25 %",1336-21-6,Ammonium Hydroxide Solution,31
Isopropyl Alcohol (IPA),67-63-0,Isopropanol,31
SULFURIC ACID 98%,7664-93-9,Sulfuric Acid,31
Xantan gum E415,11138-66-2,Xanthan Gum,31
ACS R 248+,1317-80-2,Titanium Dioxide (Rutile),31
