Timestamp,Gender,Location,Age,Qualification,field_of_study,Purpose_for_chilla,Experience,Age1,What are you?,Latitude,Longitude,Blood group ,Network,Prepaid or Postpaid,System,Weight,Height,Glasses,First line of code,Programming language,Marital Status,Coding Hours,Vaccinated,Load shedding,Area
1/4/22 18:05,Male,Pakistan,21-25,Bachelors,CS/IT,to boost my skill set,0,90,Unemplyed,30.46,70.96,AB+,Mobilink,Prepaid,Apna Laptop,90,1.4,No,In this chilla,Python,No,4,Yes,5,Rural
1/4/22 18:09,Female,Pakistan,46-60,Masters,Others,Awen,10.1,46.4,Employed,5.101898,35.742184,B+,U-fone,Prepaid,Apna Laptop,90,158,Yes,In this chilla,Python,Yes,5,Yes,1,Rural
1/4/22 18:05,Male,Pakistan,41-45,Masters,CS/IT,to boost my skill set,20.5,44.8,Employed,33.5834311,73.035718,B+,Mobilink,Prepaid,Apna Laptop,70.5,1.76,Yes,<3 years ago,Python,Yes,1,Yes,3,Urbun
1/4/22 18:05,Male,West,41-45,Masters,CS/IT,to boost my skill set,20,43,Employed,16.9228,42.5584,B+,International,Prepaid,Apna Laptop,82.5,182.5,Yes,>3 years ago,Others,Yes,1,Yes,0,International
1/4/22 18:05,Female,Pakistan,41-45,Masters,Enginnering,to boost my skill set,4,43,Employed,27,77,B+,Mobilink,Prepaid,Apna Laptop,70,1615,Yes,>3 years ago,C++,Yes,1,Yes,4,Rural
1/4/22 18:10,Male,Pakistan,41-45,Masters,CS/IT,to boost my skill set,16.5,43,Employed,33.6323139,73.0510025,B+,Mobilink,Prepaid,Apna Laptop,87,183.1,No,>3 years ago,Python,Yes,3,Yes,2,Urbun
1/4/22 18:11,Male,Pakistan,41-45,Masters,Others,to boost my skill set,2,42,Employed,27.2046,77.4977,B+,U-fone,Prepaid,Apna Laptop,70,14.478,Yes,In this chilla,Python,Yes,3,Yes,1,Urbun
1/4/22 18:15,Male,Pakistan,41-45,Masters,Software Eng.,to boost my skill set,15,42,Employed,27.2046,77.4977,B+,Mobilink,Prepaid,Apna Laptop,75,170.688,Yes,<3 years ago,C#,Yes,16,Yes,1,Urbun
1/4/22 18:05,Male,Pakistan,41-45,Masters,Natural Sciences,to boost my skill set,17,42,Employed,35.57424,73.12677,O+,Mobilink,Postpaid,Apna Laptop,90,179,Yes,In this chilla,Others,Yes,1,Yes,20,Urbun
1/4/22 18:05,Male,Pakistan,41-45,Masters,Natural Sciences,to boost my skill set,13,41,Employed,33.5651,73.0169,B+,U-fone,Prepaid,Kisi ka laptop,97,164.592,No,>3 years ago,Others,Yes,4,Yes,1,Rural
