,Spieler,Tore,Torvorlage,Progressive Pässe,Rückpässe,seitliche Pässe,lange Pässe,kurze Pässe,Dribbeln,Grätschen,Abfangen,Zweikämpfe,Blocks,Schüsse,Ballberührungen im 16er,erlittene Fouls,Flanken,clevere Pässe,Progressive Läufe,Besschleunigungen,erhaltene Pässe,Angriffsläufe,Fouls,Kmeans_4_clusters,Kmeans_8_clusters,k_medions_4_clusters,k_medions_8_clusters,Hierarchical_clustering_4_clusters,Hierarchical_clustering_8_clusters
0,E. Haaland,5.78480479,0.924840955,-2.09953172,-0.52744968,-1.350978566,-2.142148085,-1.430169513,0.100860735,-1.392832972,-1.073045821,-0.455854366,0.451869347,1.524427018,1.783460913,-1.061557857,-0.433364373,0.068768255,-0.250572402,-0.161447743,-1.136759359,0.772772335,-0.553050041,1,2,1,1,3,1
1,J. Sancho,3.239379836,5.564155621,0.198021706,2.474467107,0.620472905,-1.272419622,1.427465047,1.393587562,-1.392832972,-1.327431108,-0.447228058,-1.042554489,0.994731159,1.664423155,-0.810550566,0.308628352,2.225274508,1.891939501,1.547451083,1.531222119,3.045627378,-1.824754168,2,0,3,7,1,3
2,J. Kimmich,-0.175214614,1.768352712,1.397004157,1.372625728,1.908364329,1.548868979,1.899620433,-0.352134152,0.917628471,1.177042305,-0.729009675,-0.016491646,-0.389088063,-0.488539346,0.399594373,0.501108153,1.156992745,0.085163531,-0.528285196,1.961430294,1.891423587,-0.705659099,3,6,0,2,0,0
3,K. Havertz,1.873542056,0.713963016,-0.254735519,2.15469536,0.047055277,-0.646972458,0.890738399,1.10457544,-0.797035803,-0.661339148,0.869695081,-0.831438968,1.053055657,1.492229594,0.155675082,-0.00881667,0.95521827,1.017857217,0.916497209,0.981756892,1.739431428,-0.727938274,2,0,3,7,1,3
4,A. Davies,0.011035993,0.503085076,0.779201549,1.570473852,1.046606893,-0.587813159,1.426581429,1.400707503,0.090625302,1.710777906,1.145420784,-0.290250085,-0.701412871,0.409627808,0.371838773,1.230800831,0.087507898,1.814248024,1.259603588,1.161058019,0.691518088,-0.385413182,2,6,3,3,0,6
5,T. Werner,4.605217616,1.873791682,-0.787699104,0.849762613,-0.293337283,-0.947320292,-0.212280999,1.283149279,-0.858570102,-2.130212197,-0.733658324,-0.883446675,2.073051533,2.286782475,-0.274246551,1.244642802,1.143961891,1.452550471,1.17545843,0.195349231,2.154814507,-1.434028089,2,0,3,7,1,3
6,L. Goretzka,1.376873773,1.662913743,0.172086871,1.196563111,1.013461936,-0.141834675,1.066363779,-0.391362089,0.161440744,0.656213186,-0.072474291,-0.480810013,1.235626273,0.745656384,0.508284176,-0.851851103,0.455825836,-0.048605306,0.09135822,0.996059887,1.151422902,0.429761214,2,6,3,3,1,3
7,S. Gnabry,2.183959733,3.349937257,-0.461504122,1.874018932,0.13426397,-0.947320292,0.586531737,1.412509912,-0.366283216,-0.45912217,-0.129411268,-1.042554489,2.159106326,2.457592949,-0.190178337,1.351913382,1.382215137,1.566375838,1.287078539,0.90948475,2.349340705,-1.251967625,2,0,3,7,1,3
8,D. Upamecano,-0.733966433,-0.76218256,1.639625761,-0.705039799,1.979230714,1.503186953,1.749424611,-0.609402338,-0.504218438,1.130791677,-0.185220903,1.139965167,-0.820666906,-0.509771243,-1.172208941,-1.406632191,-0.443148546,0.693728235,0.033970926,1.502842301,-0.412398497,-0.385413182,0,5,2,6,2,2
9,K. Coman,0.693954883,1.030279925,-0.591644036,1.810913251,0.58045906,-0.130342264,0.504178385,1.978203297,-1.392832972,-0.982298345,1.215083185,-1.042554489,0.9693115,2.268850274,1.137321496,2.050496924,1.345851428,1.919139539,0.926930882,0.659341005,2.689076753,-1.303153879,2,0,3,7,1,3
