,Spieler,Tore,Torvorlage,Progressive Pässe,Rückpässe,seitliche Pässe,lange Pässe,kurze Pässe,Dribbeln,Grätschen,Abfangen,Zweikämpfe,Blocks,Schüsse,Ballberührungen im 16er,erlittene Fouls,Flanken,clevere Pässe,Progressive Läufe,Besschleunigungen,erhaltene Pässe,Angriffsläufe,Fouls,Kmeans_4_clusters,Kmeans_8_clusters,k_medions_4_clusters,k_medions_8_clusters,Hierarchical_clustering_4_clusters,Hierarchical_clustering_8_clusters
0,E. Haaland,5.78480478960344,0.924840954865458,-2.09953172002881,-0.527449679566691,-1.35097856558651,-2.14214808473716,-1.43016951327311,0.100860734603226,-1.39283297204126,-1.07304582134536,-0.455854366046966,0.451869346964322,1.5244270181824,1.78346091317332,-1.06155785686946,-0.433364373348214,0.068768255300397,-0.250572401832106,-0.161447742925213,-1.13675935866306,0.772772335163967,-0.553050041024757,0,1,1,6,3,3
1,J. Sancho,3.23937983608487,5.56415562069711,0.198021705716062,2.47446710715,0.620472905466309,-1.27241962214105,1.42746504677026,1.39358756191503,-1.39283297204126,-1.32743110772371,-0.447228058130067,-1.04255448886152,0.994731159401825,1.66442315474103,-0.810550565520624,0.308628351663713,2.22527450780086,1.89193950135733,1.54745108253864,1.53122211882805,3.0456273784693,-1.82475416775788,2,2,1,1,1,6
2,J. Kimmich,-0.175214613757108,1.76835271228939,1.39700415745965,1.37262572816261,1.90836432898634,1.54886897874228,1.89962043323381,-0.352134152362209,0.917628470693334,1.17704230475483,-0.729009674507901,-0.0164916457469729,-0.389088063047576,-0.488539345703263,0.399594372649286,0.50110815289913,1.15699274544815,0.0851635311365494,-0.528285195755466,1.9614302942911,1.89142358681569,-0.705659099076758,1,5,0,5,2,2
3,K. Havertz,1.87354205614808,0.713963015509474,-0.254735519418782,2.15469535998196,0.0470552770133404,-0.646972458224293,0.89073839897685,1.10457543952223,-0.797035803002096,-0.661339148049439,0.869695081000234,-0.831438968307179,1.05305565689769,1.49222959444316,0.15567508179514,-0.00881667047329278,0.955218269553404,1.01785721653052,0.916497208912934,0.981756891654905,1.73943142807267,-0.727938274389833,2,2,1,1,1,6
4,A. Davies,0.0110359925979088,0.503085076153489,0.779201548536687,1.57047385211681,1.04660689337392,-0.587813159194305,1.42658142855197,1.40070750269665,0.0906253023836342,1.71077790649008,1.14542078381528,-0.290250085244397,-0.701412870899012,0.409627807977482,0.37183877264353,1.23080083082646,0.0875078976100606,1.81424802404482,1.25960358825127,1.1610580185463,0.691518088149428,-0.3854131824564,2,3,1,1,2,1
5,T. Werner,4.60521761602167,1.87379168196738,-0.787699103686485,0.849762612793544,-0.293337282948856,-0.947320292396905,-0.212280999431164,1.28314927947644,-0.858570102338645,-2.13021219663854,-0.73365832435228,-0.88344667514589,2.07305153344046,2.2867824747154,-0.274246550600257,1.24464280180834,1.14396189095421,1.45255047149925,1.17545842983119,0.195349230694064,2.15481450655799,-1.4340280886481,2,2,1,1,1,6
6,L. Goretzka,1.3768737725347,1.6629137426114,0.172086870770892,1.19656311113381,1.01346193561002,-0.141834675020206,1.06636377929069,-0.391362089243563,0.161440743977073,0.656213186460025,-0.0724742910364175,-0.480810012820718,1.23562627279036,0.745656384495974,0.508284175932729,-0.851851103025528,0.455825835544026,-0.0486053057847321,0.0913582198756809,0.996059886729435,1.15142290168103,0.429761214039868,2,5,1,0,2,2
7,S. Gnabry,2.18395973340644,3.34993725745928,-0.461504121689037,1.87401893199477,0.134263969593416,-0.947320292396905,0.586531737232354,1.4125099122856,-0.366283215927857,-0.459122170193933,-0.129411267549028,-1.04255448886152,2.15910632609548,2.45759294936816,-0.190178336878098,1.35191338189539,1.38221513715887,1.56637583791619,1.28707853930298,0.909484749591463,2.34934070484289,-1.25196762516629,2,2,1,1,1,6
8,D. Upamecano,-0.73396643282216,-0.762182559982416,1.63962576086955,-0.705039799375717,1.9792307142344,1.50318695252276,1.7494246112579,-0.609402337880167,-0.504218438268611,1.13079167720572,-0.185220902779417,1.13996516676886,-0.820666906452154,-0.509771242657602,-1.17220894128119,-1.40663219094425,-0.443148545963925,0.693728234997957,0.0339709264370027,1.50284230100217,-0.412398497478619,-0.3854131824564,3,7,2,7,0,5
9,K. Coman,0.693954882566305,1.03027992454345,-0.591644036165215,1.81091325090267,0.580459060057748,-0.13034226365389,0.504178385345528,1.97820329682853,-1.39283297204126,-0.982298344966541,1.21508318470894,-1.04255448886152,0.969311499683883,2.26885027399946,1.13732149593476,2.05049692381466,1.3458514277128,1.91913953912024,0.926930881646245,0.659341005203683,2.68907675346369,-1.3031538794021,2,2,1,1,1,6
10,D. Alaba,-0.547715826467143,-0.44586565094844,1.94254000009757,0.437652702560105,2.06029197827826,1.53934219481192,2.13453156927852,-1.32091983913716,-0.827671467523883,0.732781045060712,-2.34951882618581,0.24401511447302,-0.619591059214109,-1.11851482816348,-1.71006122728752,-0.0355652273672696,0.215456019342772,1.73419166379614,0.523292745894295,2.14864684376484,-0.00188681856169677,-1.94369392146172,1,7,2,5,0,5
11,A. Hakimi,0.259370134404598,2.19010859100136,0.927790775095054,2.04752324256122,1.09708970767688,0.205025618841576,1.72959439100424,1.00348029232872,-0.952889966140647,0.147875656043371,0.289368105976912,-0.728907186665612,0.254283660614527,1.02255630390092,0.727742670265966,1.316820825903,0.124633968870669,1.79729702953383,1.23184587115906,1.86641137867144,1.52945136217346,-0.705659099076758,2,2,1,1,1,6
12,P. Coutinho,2.30812680430978,1.76835271228939,0.760315133787182,0.716852193678646,0.487060951985407,0.321529121712188,0.940831252088444,1.23953983229071,-0.677035729268213,-1.39128849777639,0.0802374084878747,-0.728907186665612,1.98958750933465,1.31179537604115,0.413382957583704,-0.24406254295422,2.16120877932411,0.551998586151806,-0.0694922101213739,1.07718250520226,3.00515171677347,-2.25731305834574,2,2,1,1,3,3
13,F. Wirtz,0.693954882566305,-0.762182559982416,-0.41867684755412,2.02345784326311,0.252162879642853,-1.16106133101512,0.85248390980987,1.59759990275312,-1.39283297204126,0.403358408290724,1.06726102434279,-1.04255448886152,-0.05955393399649,0.922620685219852,-1.65727923107366,-0.214256890726097,0.693338678291298,0.93262907566726,0.44973088501161,0.695538108437733,1.29147083748256,0.412947634347433,2,2,1,0,1,0
14,L. Hernández,-0.73396643282216,0.186768167119513,1.62919992019346,0.196017521715281,1.65110461536456,0.756247815077597,1.80872472916175,-0.270048842993694,2.597625361918,1.47610225266791,-0.497103610421928,-0.578680996021128,-1.11675802156171,-0.415994100862809,1.12631420432045,-0.234075623957018,-0.333415322107088,0.323966747132821,-0.0246640140867323,1.81385013813757,-0.553447080941041,0.205534986942095,1,0,2,5,2,1
