suite,name,links,topic,description,total_codeLines,PL,fortranLines,cLines,cppLines,C_CPP_H_Lines,OpenMP,MPI,OpenACC,CUDA,OpenCL,dd,loc_dd,proc_sch,loc_sch,storage,v,rd1,rd1-year,nv,rd2
Chatterbug,chatterbug,https://github.com/hpcgroup/chatterbug,Mimic of Communication Patterns,"A suite of communication-intensive proxy applications that mimic commonly found communication patterns in HPC codes. These codes can be used as synthetic codes for benchmarking, or for trace generation using OTF2.",1056,C++,0,0,1056,0,no,yes,no,no,no,replicated,?,static,unstr-mesh.c[86-94],0.156,1,-,-,no,-
CORAL-2,Kripke,https://github.com/LLNL/Kripke,MD,"Kripke is a simple, scalable, 3D Sn deterministic particle transport code. Its primary purpose is to research how data layout, programming paradigms and architectures effect the implementation and performance of Sn transport.
Kripke is also a Proxy-App since it is a proxy for the LLNL transport code ARDRA.

",5350,C++,0,0,2471,2879,no,yes,no,no,no,distributed,PartionSpace.cpp[75-123],static,PartitionSpace.cpp,0.42,1.2.4,6/14/19,2019,no,-
CORAL-2,TeaLeaf,https://github.com/CEED/Laghos,SPH: Gas dynamics,Laghos (LAGrangian High-Order Solver) is a miniapp that solves the time-dependent Euler equations of compressible gas dynamics in a moving Lagrangian frame using unstructured high-order finite element spatial discretization and explicit high-order time-stepping.,8230,C++,0,0,7494,736,no,yes,no,no,no,replicated,?,dynamic,Loadbalance.f90[,0.928,3.1,4/10/21,2021,no,-
ExaGraph,miniVite,https://github.com/Exa-Graph/miniVite,Community Detection - Louvain method,miniVite is a proxy app that implements a single phase of Louvain,2429,C++,0,0,195,2234,yes,yes,no,no,no,distributed,graph.hpp [367-377],dynamic,graph.hpp [from 980 onwards?],0.148,1.2,4/10/21,2021,no,-
ExMatEx,ASPA-master,https://github.com/exmatex/ASPA/tree/master/doc,Adaptive Sampling,"The purpose of ASPA (Adaptive Sampling Proxy Application) is to enable the evaluation of a technique known as adaptive sampling on advanced computer architectures. Adaptive sampling is of interest in simulations involving multiple physical scales, wherein models of individual scales are combined using some form of scale bridging.",29119,C++,0,0,12956,16163,no,yes,no,no,no,replicated,MPI.cc,static,MPI.cc,5.5,master,1/23/14,2014,no,-
Fiber Mini App ,ntchemini,https://github.com/fiber-miniapp/ntchem-mini,MD,NTChem is a high-performance software package for the molecular electronic structure calculation for general purpose on the K computer,6571,Fortran90,6571,0,0,0,yes,yes,no,no,no,Replicated,?,static,util_initmpi.f90 [96-124],39,1.2,10/31/14,2014,no,-
LLNL ASC Proxy Apps,Lulesh,https://github.com/LLNL/LULESH,CFD,"LULESH is a highly simplified application, hard-coded to only solve a simple Sedov blast problem with analytic answers – but represents the numerical algorithms, data motion, and programming style typical in scientific C or C++ based applications",12798,C++,0,0,11296,1502,yes,yes,yes,yes,no,distributed cubic mesh,lulesh-init.cc [189 - 238],dynamic,lulesh-init.cc [377-484],4.4,2.0.2,7/18/18,2018,no,-
Mantevo,miniAMR,https://github.com/Mantevo/miniAMR,PDE - Stencil Calculation,"miniAMR applies a stencil calculation on a unit cube computational domain, which is divided into blocks. The blocks all have the same number of cells in each direction and communicate ghost values with neighboring blocks.",54312,"C, C++",0,4850,18017,31445,yes,yes,no,no,no,distributed,init.c ,static,init.c,1.1,1.7,11/23/21,2021,no,-
Mantevo,miniMD,https://github.com/Mantevo/miniMD,MD,"miniMD is a parallel molecular dynamics (MD) simulation package written in C++ and intended for use on parallel supercomputers and new architechtures for testing purposes. The software package is meant to be simple, lightweight, and easily adapted to new hardware.",17496,C++,0,371,14468,2657,yes,yes,no,no,no,distributed,setup.cc [278-282],static,setup.cc [359 -392],2.6,1.2,-,,no,-
Mantevo,miniFE,https://github.com/Mantevo/miniFE/releases,Finite Element,MiniFE is an proxy application for unstructured implicit finite element codes. It is similar to HPCCG and pHPCCG but provides a much more complete vertical covering of the steps in this class of applications.,36812,"C, C++",0,4479,3549,28784,yes,yes,no,yes,no,distributed,BoxPartitionIB.c : box_partition,static,BoxPartionIB.c,21,2.2,11/22/17,2017,no,-
