tweet_id,retweet_count,favourite_count
892420643555336193,8662,39018
892177421306343426,6361,33407
891815181378084864,4224,25188
891689557279858688,8770,42374
891327558926688256,9538,40526
891087950875897856,3166,20331
890971913173991426,2107,11919
890729181411237888,19194,65946
890609185150312448,4326,27912
890240255349198849,7540,32117
890006608113172480,7448,30815
889880896479866881,5040,27936
889665388333682689,10217,48331
889638837579907072,4613,27343
889531135344209921,2264,15174
889278841981685760,5528,25432
888917238123831296,4574,29257
888804989199671297,4422,25742
888554962724278272,3653,20037
888078434458587136,3559,21889
887705289381826560,5474,30364
887517139158093824,11839,46477
887473957103951883,18511,69515
887343217045368832,10555,33865
887101392804085760,6052,30725
886983233522544640,7885,35385
886736880519319552,3351,12151
886680336477933568,4539,22564
886366144734445568,3234,21244
886267009285017600,4,117
886258384151887873,6391,28133
886054160059072513,105,0
885984800019947520,6916,32901
885528943205470208,6538,36201
885518971528720385,3818,20542
885311592912609280,18851,0
885167619883638784,4447,22066
884925521741709313,18794,78019
884876753390489601,5937,28111
884562892145688576,4996,24441
884441805382717440,5737,27154
884247878851493888,20732,73416
884162670584377345,3039,20491
883838122936631299,3503,22031
883482846933004288,10140,46235
883360690899218434,3744,22681
883117836046086144,6778,37441
882992080364220416,3994,24077
882762694511734784,5000,28492
882627270321602560,6184,28030
882268110199369728,11799,45236
882045870035918850,5065,29539
881906580714921986,3446,24434
881666595344535552,10858,50859
881633300179243008,7,129
881536004380872706,16246,49721
881268444196462592,5236,23197
880935762899988482,2825,17109
880872448815771648,3889,21428
880465832366813184,6390,28686
880221127280381952,4304,27248
880095782870896641,4427,27789
879862464715927552,3557,22426
879674319642796034,10,313
879492040517615616,3241,23537
879415818425184262,44930,106557
879376492567855104,3170,16868
879130579576475649,6977,0
879050749262655488,4805,22729
879008229531029506,2739,19063
878776093423087618,4201,19502
878604707211726852,7385,30454
878404777348136964,1315,0
878316110768087041,6791,0
878281511006478336,1315,7809
878057613040115712,6977,42311
877736472329191424,19551,80534
877611172832227328,81,0
877556246731214848,3904,22928
877316821321428993,5284,27526
877201837425926144,5707,27307
876838120628539392,3433,20818
876537666061221889,4697,23578
876484053909872640,2458,18897
876120275196170240,4789,28086
875747767867523072,4385,25386
875144289856114688,5026,22072
875097192612077568,6176,27601
875021211251597312,4806,25658
874680097055178752,4743,28055
874434818259525634,15127,0
874296783580663808,4212,26265
874057562936811520,4041,22822
874012996292530176,10714,34989
873580283840344065,4039,24469
873337748698140672,1625,0
873213775632977920,1625,7342
872967104147763200,5538,27629
872820683541237760,3788,14851
872668790621863937,30,0
872620804844003328,3805,21001
872486979161796608,9223,41021
872261713294495745,6508,34588
872122724285648897,8347,34817
871879754684805121,11569,38520
871762521631449091,3578,20496
871515927908634625,3548,20451
871166179821445120,5852,0
871102520638267392,5642,21169
871032628920680449,3907,22942
870804317367881728,6420,34092
870726314365509632,3,120
870656317836468226,2740,12611
870374049280663552,27067,83818
870308999962521604,4283,22134
870063196459192321,8624,37226
869772420881756160,10397,43061
869702957897576449,6545,28697
869596645499047938,3242,16243
869227993411051520,3927,20789
868880397819494401,15017,66775
868639477480148993,2175,0
868622495443632128,6135,27870
868552278524837888,2175,10368
867900495410671616,4337,24624
867774946302451713,7610,34643
867421006826221569,2625,16492
867072653475098625,131,0
867051520902168576,8216,32908
866720684873056260,5040,20556
866686824827068416,3635,19778
866450705531457537,36764,124792
866334964761202691,15127,53852
866094527597207552,8725,0
865718153858494464,5856,26225
865359393868664832,5240,27135
865006731092295680,8034,28686
864873206498414592,9152,33147
864279568663928832,3195,14984
864197398364647424,9399,30957
863907417377173506,4342,21167
863553081350529029,4372,15691
863471782782697472,2605,0
863432100342583297,5544,24432
863427515083354112,102,2321
863079547188785154,1156,8986
863062471531167744,2605,8794
862831371563274240,5331,19705
862722525377298433,3718,17543
862457590147678208,5227,21152
862096992088072192,24532,76778
861383897657036800,11277,37166
861288531465048066,4390,17719
861005113778896900,4017,17244
860981674716409858,2276,0
860924035999428608,860,0
860563773140209665,2276,7735
860524505164394496,5566,24349
860276583193509888,3667,18884
860184849394610176,6169,17209
860177593139703809,32630,0
859924526012018688,4323,20162
859851578198683649,3705,15886
859607811541651456,1667,19200
859196978902773760,32050,92998
859074603037188101,14418,35055
858860390427611136,8611,0
858843525470990336,3679,16074
858471635011153920,5137,22269
858107933456039936,3091,16288
857989990357356544,2745,16701
857746408056729600,11268,35486
857393404942143489,1734,6133
857263160327368704,4818,20717
857214891891077121,20,238
857062103051644929,179,0
857029823797047296,4263,19621
856602993587888130,11377,0
856543823941562368,3070,16910
856526610513747968,2011,12281
856330835276025856,722,0
856288084350160898,17,533
856282028240666624,6726,28716
855862651834028034,28,362
855860136149123072,1102,5071
855857698524602368,2265,12307
855851453814013952,18844,47200
855818117272018944,5818,27660
855459453768019968,8817,31200
855245323840757760,6404,0
855138241867124737,49,0
854732716440526848,6541,23832
854482394044301312,7397,30638
854365224396361728,5048,19734
854120357044912130,8085,33387
854010172552949760,3376,16916
853760880890318849,6251,29969
853639147608842240,10979,36600
853299958564483072,3846,16282
852936405516943360,2183,0
852912242202992640,1991,9489
852672615818899456,2323,15681
852553447878664193,3806,17214
852311364735569921,10733,34812
852226086759018497,7399,21033
852189679701164033,1709,12049
851953902622658560,10457,0
851861385021730816,23,0
851591660324737024,3753,17066
851464819735769094,7674,25579
851224888060895234,6220,21772
850753642995093505,10127,32820
850380195714523136,2839,13777
850333567704068097,362,3602
850145622816686080,4152,17253
850019790995546112,5340,21629
849776966551130114,8302,32209
849668094696017920,5408,0
849412302885593088,3417,16800
849336543269576704,2057,12083
849051919805034497,9325,44780
848690551926992896,4719,26709
848324959059550208,5027,26250
848213670039564288,815,8675
848212111729840128,3365,17334
847978865427394560,3566,0
847971574464610304,469,0
847962785489326080,5617,24898
847842811428974592,1479,5835
847617282490613760,458,7435
847606175596138505,3697,19896
847251039262605312,4686,21674
847157206088847362,6424,21227
847116187444137987,3500,22761
846874817362120707,4320,21356
846514051647705089,12749,47567
846505985330044928,3408,15057
846153765933735936,9961,33805
846139713627017216,10761,32762
846042936437604353,3156,17013
845812042753855489,9635,31206
845677943972139009,5243,26740
845397057150107648,2013,8115
845306882940190720,5925,24846
845098359547420673,8448,0
844979544864018432,2848,14526
844973813909606400,3534,16116
844704788403113984,11377,41328
844580511645339650,3448,17560
844223788422217728,2409,14534
843981021012017153,3214,16095
843856843873095681,5098,22844
843604394117681152,3010,18028
843235543001513987,6680,22955
842846295480000512,3937,16217
842765311967449089,1413,7207
842535590457499648,3846,19330
842163532590374912,6404,26186
842115215311396866,3323,14992
841833993020538882,17015,0
841680585030541313,8548,27412
841439858740625411,4069,13529
841320156043304961,5977,21105
841314665196081154,5188,17001
841077006473256960,5852,24545
840761248237133825,1939,0
840728873075638272,17856,0
840698636975636481,3,195
840696689258311684,1092,13179
840632337062862849,1939,9617
840370681858686976,5040,17645
840268004936019968,6338,20650
839990271299457024,2545,14398
839549326359670784,8611,29535
839290600511926273,157,0
839239871831150596,7252,29188
838952994649550848,4410,21039
838921590096166913,2296,11992
838916489579200512,37,0
838831947270979586,12297,0
838561493054533637,1470,11715
838476387338051585,5340,24281
838201503651401729,11235,0
838150277551247360,359,1798
838085839343206401,0,149
838083903487373313,3487,18924
837820167694528512,8725,36757
837482249356513284,489,4134
837471256429613056,2563,13772
837366284874571778,5874,22695
837110210464448512,2662,17216
836989968035819520,2552,13672
836753516572119041,5121,20699
836677758902222849,2461,13558
836648853927522308,614,0
836397794269200385,30639,0
836380477523124226,3264,15826
836260088725786625,4757,22829
836001077879255040,4804,20575
835685285446955009,9111,0
835574547218894849,4028,19164
835536468978302976,1890,0
835309094223372289,23432,0
835297930240217089,3318,17628
835264098648616962,1890,8365
835246439529840640,81,2238
835172783151792128,6386,28120
835152434251116546,3367,24172
834931633769889797,1835,11668
834786237630337024,6056,22673
834574053763584002,2813,14771
834477809192075265,11883,0
834458053273591808,1865,10356
834209720923721728,5334,22214
834167344700198914,4037,16953
834089966724603904,2367,10823
834086379323871233,2462,14073
833863086058651648,2671,14451
833826103416520705,3830,16506
833732339549220864,242,0
833722901757046785,3566,22261
833479644947025920,2297,16014
833124694597443584,5408,21808
832998151111966721,2473,14353
832769181346996225,44,0
832757312314028032,4029,18155
832682457690300417,3290,12827
832645525019123713,579,3145
832636094638288896,3132,17121
832397543355072512,2486,12916
832369877331693569,3566,18517
832273440279240704,2610,12187
832215909146226688,6911,0
832215726631055365,10459,0
832088576586297345,2,72
832040443403784192,10855,0
832032802820481025,5212,19288
831939777352105988,6869,25932
831926988323639298,37,366
831911600680497154,7294,29897
831670449226514432,2024,11296
831650051525054464,2183,7764
831552930092285952,2560,9734
831322785565769729,1707,9908
831315979191906304,1242,7014
831309418084069378,2720,12640
831262627380748289,2296,12863
830956169170665475,1685,8613
830583320585068544,18851,72348
830173239259324417,6388,0
830097400375152640,3373,10638
829878982036299777,5618,0
829861396166877184,2199,13251
829501995190984704,11883,34328
829449946868879360,2278,11347
829374341691346946,10457,37526
829141528400556032,8314,26559
829011960981237760,18188,57361
828801551087042563,3810,0
828770345708580865,6594,27685
828708714936930305,12579,39643
828650029636317184,1506,10306
828409743546925057,1283,6802
828408677031882754,1435,8285
828381636999917570,2489,13673
828376505180889089,1191,8004
828372645993398273,3274,13563
828361771580813312,191,2371
828046555563323392,3200,12757
828011680017821696,2397,11223
827933404142436356,5872,21851
827653905312006145,3359,16758
827600520311402496,1055,8040
827324948884643840,3427,17225
827199976799354881,2515,11480
826958653328592898,5618,23418
826848821049180160,11548,39663
826615380357632002,4428,0
826598799820865537,287,5553
826598365270007810,2638,10934
826476773533745153,4713,19987
826240494070030336,2907,14395
826204788643753985,1054,5286
826115272272650244,3521,17032
825876512159186944,2100,11356
825829644528148480,2797,13822
825535076884762624,19325,56503
825147591692263424,5140,19893
825120256414846976,1448,0
825026590719483904,1448,6909
824796380199809024,6166,0
824775126675836928,3965,16276
824663926340194305,1953,10942
824325613288833024,11649,12808
824297048279236611,4351,16356
824025158776213504,667,5184
823939628516474880,3049,11570
823719002937630720,12679,0
823699002998870016,2714,13653
823581115634085888,2984,14176
823333489516937216,29,761
823322678127919110,4537,17147
823269594223824897,11116,0
822975315408461824,3875,18840
822872901745569793,49525,144098
822859134160621569,2570,14375
822647212903690241,7216,0
822610361945911296,3339,16068
822489057087389700,7216,19782
822462944365645825,16690,31236
822244816520155136,11116,38214
822163064745328640,5441,0
821886076407029760,2637,12384
821813639212650496,3763,0
821765923262631936,1869,9192
821522889702862852,1990,8732
821421320206483457,6311,0
821407182352777218,4920,12861
821153421864615936,10,276
821149554670182400,2271,9536
821107785811234820,2407,10477
821044531881721856,2582,13810
820837357901512704,7555,0
820749716845686786,11235,34453
820690176645140481,3638,13335
820494788566847489,638,0
820446719150292993,2914,0
820314633777061888,638,3644
820078625395449857,7091,21612
820013781606658049,1333,0
819952236453363712,1333,5813
819924195358416896,5472,14038
819711362133872643,3539,14671
819588359383371776,2221,10434
819347104292290561,1356,7888
819238181065359361,454,2503
819227688460238848,7555,25211
819015337530290176,41303,0
819015331746349057,21321,0
819006400881917954,21321,49223
819004803107983360,41303,94136
818646164899774465,23526,0
818627210458333184,8391,24238
818614493328580609,2917,10786
818588835076603904,6965,0
818536468981415936,2803,11936
818307523543449600,9178,0
818259473185828864,2570,12017
818145370475810820,2939,13449
817908911860748288,891,5280
817827839487737858,30639,56729
817777686764523521,3012,11699
817536400337801217,3433,12901
817502432452313088,3835,0
817423860136083457,17015,37517
817415592588222464,1093,6147
817181837579653120,9639,0
817171292965273600,2271,9528
817120970343411712,2964,13265
817056546584727552,1872,9378
816829038950027264,5355,0
816816676327063552,2312,10913
816697700272001025,2486,10725
816450570814898180,9178,33463
816336735214911488,2219,9416
816091915477250048,2440,9770
816062466425819140,1184,0
816014286006976512,6022,0
815990720817401858,1184,5462
815966073409433600,9639,24633
815745968457060357,4676,0
815736392542261248,2569,10759
815639385530101762,1865,9013
815390420867969024,4299,11307
814986499976527872,1472,8351
814638523311648768,3069,12332
814578408554463233,6601,0
814530161257443328,2103,9499
814153002265309185,9853,31484
813944609378369540,3659,0
813910438903693312,2136,10173
813812741911748608,15884,39783
813800681631023104,2008,9153
