,Date,Time,Open,High,Low,Last,ATR,FractalSell,FractalWk,OpenTrade,StopLoss,TakeProfit,Close Trade,OpenTradeNew,StoplossNew,TakeProfitNew,CloseTradeNew
0, '2007/12/3', '00:00:00.0',2.05389,2.06793,2.01811,2.0304,0.04982,0.0,,2.05389,,6.16167,0.0,2.05389,0.0,6.16167,0.0
1, '2007/12/10', '00:00:00.0',2.03025,2.05785,2.01483,2.01776,0.04642,0.0,0.0,2.05389,0.0,6.16167,0.0,2.05389,0.0,6.16167,0.0
2, '2007/12/17', '00:00:00.0',2.01475,2.02285,1.98105,1.98357,0.04488,0.0,0.0,2.05389,0.0,6.16167,0.0,2.05389,0.0,6.16167,0.0
3, '2007/12/24', '00:00:00.0',1.98365,2.00234,1.97565,1.99696,0.04033,0.0,0.0,2.05389,0.0,6.16167,0.0,2.05389,0.0,6.16167,0.0
4, '2007/12/31', '00:00:00.0',1.99488,2.01028,1.96738,1.97374,0.04085,0.0,0.0,2.05389,0.0,6.16167,0.0,2.05389,0.0,6.16167,0.0
5, '2008/1/7', '00:00:00.0',1.97172,1.98289,1.94825,1.95645,0.03981,0.0,0.0,2.05389,0.0,6.16167,0.0,2.05389,0.0,6.16167,0.0
6, '2008/1/14', '00:00:00.0',1.95795,1.97915,1.95135,1.95515,0.0381,0.0,0.0,2.05389,0.0,6.16167,0.0,2.05389,0.0,6.16167,0.0
7, '2008/1/21', '00:00:00.0',1.95765,1.98485,1.93385,1.98305,0.03971,0.0,0.0,2.05389,0.0,6.16167,0.0,2.05389,0.0,6.16167,0.0
8, '2008/1/28', '00:00:00.0',1.98405,1.99565,1.96455,1.96495,0.03875,0.0,0.0,2.05389,0.0,6.16167,0.0,2.05389,0.0,6.16167,0.0
9, '2008/2/4', '00:00:00.0',1.96555,1.97865,1.93868,1.94602,0.03887,0.0,0.0,2.05389,0.0,6.16167,0.0,2.05389,0.0,6.16167,0.0
10, '2008/2/11', '00:00:00.0',1.94592,1.97379,1.94025,1.96137,0.03839,0.0,0.0,2.05389,0.0,6.16167,0.0,2.05389,0.0,6.16167,0.0
11, '2008/2/18', '00:00:00.0',1.95722,1.97087,1.93629,1.96685,0.03807,1.93559,1.93559,2.05389,0.0,6.16167,0.0,2.05389,0.0,6.16167,0.0
12, '2008/2/25', '00:00:00.0',1.9694,1.99713,1.96164,1.98914,0.03787,0.0,1.93559,2.05389,1.93559,6.16167,0.0,2.05389,1.93559,6.16167,0.0
13, '2008/3/3', '00:00:00.0',1.9888,2.02166,1.97207,2.01355,0.03871,0.0,1.93559,2.05389,1.93559,6.16167,0.0,2.05389,1.93559,6.16167,0.0
14, '2008/3/10', '00:00:00.0',2.01673,2.03975,1.99957,2.02181,0.03881,0.0,1.93559,2.05389,1.93559,6.16167,0.0,2.05389,1.93559,6.16167,0.0
15, '2008/3/17', '00:00:00.0',2.01774,2.02729,1.97354,1.98185,0.03974,0.0,1.93559,2.05389,1.93559,6.16167,0.0,2.05389,1.93559,6.16167,0.0
16, '2008/3/24', '00:00:00.0',1.98164,2.01926,1.97588,1.99453,0.03996,0.0,1.93559,2.05389,1.93559,6.16167,0.0,2.05389,1.93559,6.16167,0.0
17, '2008/3/31', '00:00:00.0',1.99581,2.00485,1.97294,1.99345,0.03951,0.0,1.93559,2.05389,1.93559,6.16167,0.0,2.05389,1.93559,6.16167,0.0
18, '2008/4/7', '00:00:00.0',1.99531,1.99531,1.96508,1.96933,0.03902,0.0,1.93559,2.05389,1.93559,6.16167,0.0,2.05389,1.93559,6.16167,0.0
19, '2008/4/14', '00:00:00.0',1.96534,1.99985,1.96007,1.99778,0.03906,0.0,1.93559,2.05389,1.93559,6.16167,0.0,2.05389,1.93559,6.16167,0.0
20, '2008/4/21', '00:00:00.0',1.99644,2.00263,1.96762,1.98559,0.03887,0.0,1.93559,2.05389,1.93559,6.16167,0.0,2.05389,1.93559,6.16167,0.0
21, '2008/4/28', '00:00:00.0',1.9848,1.99652,1.96244,1.97157,0.03865,0.0,1.93559,2.05389,1.93559,6.16167,0.0,2.05389,1.93559,6.16167,0.0
22, '2008/5/5', '00:00:00.0',1.97285,1.97846,1.94605,1.95386,0.03838,0.0,1.93559,2.05389,1.93559,6.16167,0.0,2.05389,1.93559,6.16167,0.0
23, '2008/5/12', '00:00:00.0',1.95076,1.96336,1.93655,1.95724,0.0379,1.93601,1.93601,2.05389,1.93559,6.16167,0.0,2.05389,1.93559,6.16167,0.0
24, '2008/5/19', '00:00:00.0',1.95685,1.98519,1.94537,1.9797,0.03797,0.0,1.93601,2.05389,1.93601,6.16167,0.0,2.05389,1.93601,6.16167,0.0
25, '2008/5/26', '00:00:00.0',1.98003,1.98467,1.96741,1.9822,0.03718,0.0,1.93601,2.05389,1.93601,6.16167,0.0,2.05389,1.93601,6.16167,0.0
