,index,id,brand,model,website,price,mileage,owners,depreciation,reg_date,coe_left,link
0,0,1,Mercedes-Benz,SLK-Class SLK250 (COE till 03/2032),Carro,170888,55000,3,14990,2012-10-10 00:00:00,9.416666666666666,/cars/mercedes-benz/slk/mercedes-benz-slk-class-slk250--coe-till-03-2032-/DXLKJ1
1,1,2,Audi,Q5 2.0A TFSI Quattro,Carro,97888,118480,1,19790,2016-08-24 00:00:00,3.8333333333333335,/cars/audi/q5/audi-q5-2-0a-tfsi-quattro/DR8WRP
2,2,3,Toyota,Wish 1.8A,Carro,83888,41610,2,14500,2017-11-23 00:00:00,5.083333333333333,/cars/toyota/wish/toyota-wish-1-8a/DO85O7
3,3,4,Audi,S5 Sportback 3.0A TFSI Quattro (COE till 02/2030),Carro,116888,163562,5,15870,2010-09-22 00:00:00,7.333333333333333,/cars/audi/s5/audi-s5-sportback-3-0a-tfsi-quattro--coe-till-02-2030-/EN8PYJ
4,4,5,Mercedes-Benz,GLC-Class GLC300 Mild Hybrid AMG Line 4MATIC,Carro,255888,41962,1,27810,2020-10-15 00:00:00,7.916666666666667,/cars/mercedes-benz/glc300/mercedes-benz-glc-class-glc300-mild-hybrid-amg-line-4matic/EZNPML
5,5,6,Hyundai,Elantra 1.6A GLS (OPC),Carro,67388,19431,1,10300,2018-09-25 00:00:00,5.916666666666667,/cars/hyundai/elantra/hyundai-elantra-1-6a-gls--opc-/GVJP54
6,6,7,Volkswagen,Jetta 1.4A TSI (COE till 09/2031),Carro,88888,89481,2,9930,2011-10-10 00:00:00,8.916666666666666,/cars/volkswagen/jetta/volkswagen-jetta-1-4a-tsi--coe-till-09-2031-/EK84PW
7,7,8,Audi,A3 Sedan 1.0A TFSI S-tronic,Carro,75888,81000,3,15720,2017-01-25 00:00:00,4.25,/cars/audi/a3/audi-a3-sedan-1-0a-tfsi-s-tronic/G96N9V
8,8,9,Jaguar,XE 2.0A,Carro,109888,167350,1,15100,2018-08-28 00:00:00,5.833333333333333,/cars/jaguar/xe/jaguar-xe-2-0a/G66X13
9,9,10,Volvo,XC40 Recharge Plug-in Hybrid T5 R-Design,Carro,205888,8575,1,20660,2021-10-29 00:00:00,9.0,/cars/volvo/xc40/volvo-xc40-recharge-plug-in-hybrid-t5-r-design/G346PR
