time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
0,-69.21804421,-66.22655573,-66.41468243,-67.3542134,-71.04764151,-66.99671994,-63.50552562,-64.22579647,-73.29263558,-71.94637869,-72.9733478,-71.48030816,-68.27005177,-66.82378436,-72.27233166,-71.12812528,-73.63251763,-69.50869031,-68.10604195,-67.27190517,-70.16588257,-71.51680036,-71.73007919,-68.98411328,-68.55061861,-71.09910494,-72.97202993,-74.520748,-70.64653826,-70.27967933,-72.34201489,-68.36398224
1,-68.56896119,-70.38580528,-73.30483806,-69.60832483,-68.80187226,-69.1236436,-73.69503317,-70.41844009,-68.47543321,-74.93250534,-70.12281883,-73.67489419,-62.200587,-69.92985882,-68.7669372,-67.09276649,-67.89505048,-67.74823559,-71.09581387,-74.26209622,-69.48499662,-73.65640959,-69.98041647,-68.35281069,-73.89729332,-66.46526726,-69.21837301,-68.642226,-70.94700505,-67.88747842,-71.28177139,-73.23786911
2,-66.3585671,-67.93328556,-63.93767675,-72.5880814,-71.67560258,-65.90323077,-67.71699382,-67.88449101,-63.90189522,-68.90059045,-67.68030469,-68.8356007,-68.80198153,-73.15176021,-67.44327177,-69.80749652,-74.00489558,-66.45956365,-64.74567027,-70.89133887,-69.70904901,-69.66066732,-68.13032289,-71.89667134,-69.91502526,-71.46789445,-65.53661409,-71.92576708,-67.25509014,-70.00076605,-68.30010084,-70.81418292
3,-71.42167532,-68.41387693,-69.71363617,-71.44527272,-70.16206131,-68.83968926,-70.52754504,-70.16491838,-73.49315312,-70.44005272,-72.52352319,-67.63242768,-65.96046411,-71.68143243,-67.22910317,-64.94079252,-68.38164143,-68.60717787,-68.29491258,-67.64432289,-74.75194292,-70.6378773,-66.62968915,-71.83411362,-70.39409146,-66.65571921,-71.29335176,-70.37802928,-69.17818905,-71.56772506,-69.78370297,-71.3411559
4,-71.88999248,-66.689559,-68.02553906,-73.46636128,-68.75279613,-68.66402206,-72.74649419,-66.74366605,-70.96386077,-75.86687435,-68.38001999,-74.58596817,-65.68461553,-76.35364344,-69.86293548,-74.42571789,-71.99609873,-69.57001199,-72.66093609,-72.25225179,-67.98558836,-58.97350902,-75.77331267,-73.44397931,-68.56971214,-73.45250844,-68.34752285,-74.51685665,-66.84841886,-65.19911324,-69.960479,-67.59200501
5,-71.20514555,-64.6270076,-70.47330655,-70.46776901,-69.3091425,-68.21138741,-70.40088201,-71.88655505,-70.8800936,-72.02292582,-71.02113538,-71.4737085,-73.64039312,-69.74631433,-73.62190017,-71.79921194,-70.97933586,-73.76827492,-72.82974881,-68.78057428,-72.81538115,-67.99609578,-68.15507223,-64.57039226,-69.00451178,-70.62628248,-74.12117225,-78.5351065,-66.28088316,-73.81457499,-70.24830568,-71.33296783
6,-73.23390573,-70.68927091,-72.90729782,-68.48314583,-66.94701582,-69.87018652,-70.33873117,-68.34237812,-65.10805819,-72.08224604,-72.5194094,-70.57177327,-65.75467754,-71.25360934,-74.20105845,-72.24213615,-66.50806276,-70.62901851,-75.7588367,-69.43142316,-71.40705084,-72.73779544,-72.93200625,-71.86453443,-67.43433344,-72.07815365,-71.17329818,-71.95584557,-71.8914405,-66.10368703,-71.80903192,-64.45042896
7,-70.0628065,-72.54713491,-69.47688679,-68.32270358,-64.82936324,-68.43364947,-65.51943018,-67.78024956,-69.18223188,-65.50039822,-67.51326576,-76.83093574,-70.56757056,-71.9537498,-68.87410809,-70.9180332,-66.18635413,-72.61039412,-69.08435513,-74.27012828,-64.47259807,-68.85424904,-65.03389428,-69.09875277,-71.05970703,-72.27790537,-70.83624032,-66.89904168,-69.27383388,-68.59823784,-69.97719857,-72.60972647
8,-61.15669437,-70.68148249,-72.68788008,-74.6587556,-65.72227657,-67.55749089,-72.10584848,-69.77883713,-76.1430029,-69.02536262,-74.16192575,-67.55713177,-76.32587207,-77.7432018,-70.99903901,-69.98083121,-66.48322617,-67.15938814,-73.69407181,-73.95185195,-78.4100032,-69.71910906,-69.43064918,-70.89899728,-65.5177117,-72.32298832,-71.97554884,-69.41697099,-68.87848321,-70.27297726,-74.6323052,-68.29828507
9,-69.10691109,-77.10951422,-69.66111251,-69.91806475,-74.53187733,-69.27832941,-75.76163935,-73.46778128,-68.65673635,-67.85967386,-69.61818927,-73.22761672,-69.01369538,-75.3415296,-71.80249397,-76.45401153,-73.42461843,-73.49587258,-69.96981302,-72.88017201,-66.99081293,-74.70695119,-73.97695773,-69.71242796,-72.85076834,-67.9146383,-64.74719911,-72.23079326,-68.93692734,-72.93631478,-70.90533139,-69.35672257
