,ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,client_major_version,client_minor_version,server_major_version,server_minor_version,authentication_method,trans_depth,method,host,uri,version,user_agent,request_body_len,response_body_len,status_code,status_msg,tags,resp_fuids,referrer,resp_mime_types,origin,orig_fuids,orig_mime_types,proto,service,duration,orig_bytes,resp_bytes,conn_state,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,trans_id,query,qclass,qclass_name,qtype,qtype_name,AA,TC,RD,RA,Z,rejected,rcode,rcode_name,answers,TTLs,proxied,username,orig_filenames,cookie,result,security_protocol,cert_count,auth_attempts,server,client,cipher_alg,mac_alg,compression_alg,kex_alg,host_key_alg,host_key,auth_success,path,share_type,analyzer,failure_reason,hostname,domainname,server_nb_computer_name,server_dns_computer_name,success,cipher,server_name,resumed,established,ssl_history,cert_chain_fps,client_cert_chain_fps,sni_matches_cert,rtt,named_pipe,endpoint,operation,mode,stratum,poll,precision,root_delay,root_disp,ref_id,ref_time,org_time,rec_time,xmt_time,num_exts,name,notice,peer,source,request_type,till,forwardable,renewable,command,value,addl,user,nick,fuid,tx_hosts,rx_hosts,conn_uids,depth,analyzers,mime_type,is_orig,seen_bytes,total_bytes,missing_bytes,overflow_bytes,timedout,filename
0,1620640176.238698,CH9oEA325YP2wLu6qc,10.11.1.2,49373.0,10.11.1.3,5900.0,3.0,8.0,3.0,8.0,Tight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1620636719.828163,CSUx6YIk1fqz1lpK5,10.11.1.2,49245.0,10.11.1.3,80.0,,,,,,1.0,GET,10.11.1.3,/,1.1,Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:87.0) Gecko/20100101 Firefox/87.0,0.0,1.0,200.0,OK,[],['FbdRFU1pOKjc6CnS41'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1620636719.949995,CSUx6YIk1fqz1lpK5,10.11.1.2,49245.0,10.11.1.3,80.0,,,,,,2.0,GET,10.11.1.3,/favicon.ico,1.1,Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:87.0) Gecko/20100101 Firefox/87.0,0.0,271.0,404.0,Not Found,[],['FDDld52hEq70UApun6'],http://10.11.1.3/,['text/html'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1620638035.057504,CoDyNi4wmwnbYyHtXc,10.11.1.2,49254.0,10.11.1.3,80.0,,,,,,1.0,GET,10.11.1.3,/,1.1,Mozilla/5.0 (X11; Linux x86_64; rv:78.0) Gecko/20100101 Firefox/78.0,0.0,1.0,200.0,OK,[],['FIDAzg3q6B0BuE7B71'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1620638035.10447,CVmrNf21vduCFvPcD1,10.11.1.2,49255.0,10.11.1.3,80.0,,,,,,1.0,GET,10.11.1.3,/robots.txt,1.1,Mozilla/5.0 (X11; Linux x86_64; rv:78.0) Gecko/20100101 Firefox/78.0,0.0,271.0,404.0,Not Found,[],['FT207C4lVO1e12s4ic'],,['text/html'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1620638035.29121,CVmrNf21vduCFvPcD1,10.11.1.2,49255.0,10.11.1.3,80.0,,,,,,2.0,GET,10.11.1.3,/favicon.ico,1.1,Mozilla/5.0 (X11; Linux x86_64; rv:78.0) Gecko/20100101 Firefox/78.0,0.0,271.0,404.0,Not Found,[],['FHka6B1skEfBsPm4tl'],,['text/html'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1620638045.805998,CxfIuC2EUCqkdQIUEg,10.11.1.2,49256.0,10.11.1.3,80.0,,,,,,1.0,GET,10.11.1.3,/index.html,1.1,Mozilla/5.0 (X11; Linux x86_64; rv:78.0) Gecko/20100101 Firefox/78.0,0.0,1.0,200.0,OK,[],['F63Xt82m249ciqWBpl'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1620638243.757428,C8gUWx3rqnMMgFHRI3,10.11.1.2,49258.0,10.11.1.3,80.0,,,,,,1.0,GET,10.11.1.3,/server-info,1.1,Mozilla/5.0 (X11; Linux x86_64; rv:78.0) Gecko/20100101 Firefox/78.0,0.0,271.0,404.0,Not Found,[],['Fk7GYm1wWLr6IXpKo'],,['text/html'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1620639845.903486,CzIqDE2RGUW3MsNAm6,10.11.1.2,49272.0,10.11.1.3,80.0,,,,,,1.0,GET,10.11.1.3,/,1.1,Mozilla/5.0 (X11; Linux x86_64; rv:78.0) Gecko/20100101 Firefox/78.0,0.0,1.0,200.0,OK,[],['F3oiWt3R4pqEy0PKRh'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1620640003.497103,CD7HtZ1yA1wwJ2QtRc,10.11.1.2,49284.0,10.11.1.3,80.0,,,,,,1.0,GET,10.11.1.3,/,1.1,curl/7.74.0,0.0,1.0,200.0,OK,[],['FKp23S3gcDJyYDbkx5'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
