id,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance
19556,Female,Loyal Customer,52,Business travel,Eco,160
90035,Female,Loyal Customer,36,Business travel,Business,2863
12360,Male,disloyal Customer,20,Business travel,Eco,192
77959,Male,Loyal Customer,44,Business travel,Business,3377
36875,Female,Loyal Customer,49,Business travel,Eco,1182
39177,Male,Loyal Customer,16,Business travel,Eco,311
79433,Female,Loyal Customer,77,Business travel,Business,3987
97286,Female,Loyal Customer,43,Business travel,Business,2556
27508,Male,Loyal Customer,47,Business travel,Eco,556
62482,Female,Loyal Customer,46,Business travel,Business,1744
47583,Female,Loyal Customer,47,Business travel,Eco,1235
115550,Female,Loyal Customer,33,Business travel,Business,325
119987,Female,Loyal Customer,46,Business travel,Business,1009
42141,Female,Loyal Customer,60,Business travel,Business,451
2274,Female,Loyal Customer,52,Business travel,Business,925
22470,Male,Loyal Customer,50,Personal Travel,Eco,83
124915,Female,Loyal Customer,31,Business travel,Eco,728
17836,Male,Loyal Customer,52,Personal Travel,Eco Plus,1075
76872,Female,Loyal Customer,43,Personal Travel,Eco,1927
64287,Female,Loyal Customer,50,Business travel,Business,3799
63995,Male,Loyal Customer,60,Business travel,Business,612
75855,Male,Loyal Customer,43,Personal Travel,Eco,1437
106181,Male,Loyal Customer,55,Personal Travel,Eco,302
44304,Male,Loyal Customer,25,Business travel,Business,1428
82602,Female,disloyal Customer,30,Business travel,Eco,528
7823,Male,Loyal Customer,62,Personal Travel,Eco,710
127781,Male,Loyal Customer,24,Business travel,Business,3680
34501,Female,Loyal Customer,22,Business travel,Eco,1521
121658,Male,Loyal Customer,44,Business travel,Business,1543
20219,Male,Loyal Customer,51,Business travel,Eco,235
67551,Male,Loyal Customer,43,Personal Travel,Business,1235
48994,Female,Loyal Customer,56,Business travel,Eco,308
70811,Male,disloyal Customer,41,Business travel,Eco,624
75241,Male,Loyal Customer,22,Personal Travel,Eco,1846
12312,Female,Loyal Customer,53,Business travel,Eco,192
48372,Male,Loyal Customer,12,Personal Travel,Eco,674
51477,Female,Loyal Customer,39,Business travel,Business,370
84204,Female,Loyal Customer,55,Business travel,Business,3169
70990,Female,disloyal Customer,32,Business travel,Business,802
101991,Female,Loyal Customer,40,Personal Travel,Eco,628
87447,Female,disloyal Customer,42,Business travel,Business,373
16112,Male,disloyal Customer,24,Business travel,Eco,725
16172,Male,Loyal Customer,22,Business travel,Business,277
106558,Female,Loyal Customer,28,Business travel,Business,1024
11536,Female,Loyal Customer,36,Business travel,Eco Plus,267
47773,Female,Loyal Customer,62,Business travel,Eco,550
70521,Female,Loyal Customer,60,Business travel,Business,1889
96283,Female,Loyal Customer,59,Personal Travel,Eco,460
117993,Female,Loyal Customer,49,Business travel,Business,3295
74703,Female,Loyal Customer,44,Personal Travel,Eco,1205
110840,Female,Loyal Customer,58,Personal Travel,Eco Plus,990
88249,Male,disloyal Customer,24,Business travel,Business,444
125877,Female,Loyal Customer,53,Business travel,Eco,520
83968,Male,Loyal Customer,56,Business travel,Eco,321
122719,Female,Loyal Customer,30,Business travel,Business,651
3949,Male,disloyal Customer,27,Business travel,Business,764
45542,Male,Loyal Customer,27,Business travel,Business,566
43742,Female,Loyal Customer,67,Personal Travel,Eco,626
122093,Female,Loyal Customer,32,Personal Travel,Eco,130
121454,Male,disloyal Customer,36,Business travel,Eco,331
738,Male,Loyal Customer,44,Business travel,Business,158
75235,Female,Loyal Customer,70,Personal Travel,Eco,1829
88653,Female,Loyal Customer,55,Personal Travel,Eco,646
26594,Male,Loyal Customer,66,Business travel,Eco,404
38339,Female,Loyal Customer,19,Business travel,Business,2738
46063,Female,Loyal Customer,53,Personal Travel,Eco Plus,964
27957,Male,Loyal Customer,22,Business travel,Business,1660
17270,Female,Loyal Customer,69,Personal Travel,Eco,872
87976,Female,Loyal Customer,42,Business travel,Business,1898
31640,Female,Loyal Customer,41,Business travel,Business,967
41461,Female,Loyal Customer,53,Personal Travel,Business,1242
15143,Male,Loyal Customer,35,Business travel,Business,1042
78136,Female,Loyal Customer,54,Personal Travel,Business,153
120433,Male,Loyal Customer,44,Business travel,Business,366
41440,Female,disloyal Customer,26,Business travel,Eco Plus,913
15963,Female,Loyal Customer,44,Personal Travel,Eco,528
64303,Female,disloyal Customer,24,Business travel,Eco,1172
3608,Female,Loyal Customer,54,Personal Travel,Eco,999
7744,Male,Loyal Customer,42,Business travel,Eco Plus,489
21276,Male,disloyal Customer,36,Business travel,Eco,692
58576,Female,Loyal Customer,61,Business travel,Business,1585
53888,Female,Loyal Customer,50,Personal Travel,Eco,140
10980,Male,Loyal Customer,27,Business travel,Business,2729
54151,Male,Loyal Customer,55,Business travel,Business,1400
115641,Male,disloyal Customer,21,Business travel,Eco,447
58584,Female,Loyal Customer,31,Personal Travel,Business,334
50472,Female,disloyal Customer,37,Business travel,Eco,158
102623,Female,Loyal Customer,50,Business travel,Business,3696
31533,Female,Loyal Customer,21,Personal Travel,Eco,846
42287,Female,Loyal Customer,53,Business travel,Eco,329
70467,Male,Loyal Customer,45,Business travel,Business,2580
20461,Female,disloyal Customer,42,Business travel,Eco,84
113346,Male,Loyal Customer,59,Business travel,Business,3358
115566,Female,Loyal Customer,54,Business travel,Eco,308
119896,Female,Loyal Customer,46,Business travel,Business,912
88853,Female,Loyal Customer,52,Personal Travel,Eco Plus,406
24895,Female,Loyal Customer,38,Personal Travel,Eco,397
31122,Male,Loyal Customer,35,Business travel,Business,2409
91231,Female,Loyal Customer,41,Personal Travel,Eco,545
61426,Female,disloyal Customer,40,Business travel,Business,2419
68873,Female,disloyal Customer,36,Business travel,Eco,1061
125701,Male,Loyal Customer,67,Personal Travel,Eco,899
94999,Female,Loyal Customer,38,Personal Travel,Eco,293
56694,Female,Loyal Customer,50,Personal Travel,Eco,1085
62010,Male,Loyal Customer,50,Business travel,Business,2475
95868,Male,Loyal Customer,54,Business travel,Business,2544
123064,Male,Loyal Customer,56,Business travel,Business,2556
103418,Male,Loyal Customer,38,Personal Travel,Eco,237
73456,Female,Loyal Customer,7,Personal Travel,Eco,1120
8851,Female,Loyal Customer,32,Business travel,Business,2668
64241,Male,Loyal Customer,45,Business travel,Eco,1660
81723,Male,disloyal Customer,25,Business travel,Eco,1310
88237,Female,Loyal Customer,45,Business travel,Business,2374
50619,Male,Loyal Customer,34,Personal Travel,Eco,209
54444,Male,Loyal Customer,20,Personal Travel,Eco Plus,305
64765,Female,disloyal Customer,36,Business travel,Eco,247
15941,Male,disloyal Customer,36,Business travel,Eco,338
