id,Departure/Arrival time convenient,Ease of Online booking,Food and drink,Seat comfort,Inflight entertainment,Baggage handling,Inflight service,Cleanliness
50619,4,1,1,1,1,5,3,1
27872,5,1,1,1,1,4,5,1
21276,1,1,1,1,1,3,2,1
91778,1,1,1,1,1,3,3,1
115641,2,1,1,1,1,3,3,1
50472,2,1,1,1,1,3,3,1
121454,1,2,1,1,1,4,3,1
64765,1,2,1,1,1,3,2,1
14794,3,3,1,1,5,5,5,2
54444,4,3,1,1,1,4,5,1
48372,4,3,1,1,1,5,4,1
97762,4,3,1,1,1,5,4,1
5289,3,4,1,1,1,4,4,1
122788,4,4,1,1,1,3,3,1
112169,5,4,1,1,1,3,5,1
7237,1,5,1,1,2,4,2,1
20310,5,5,1,1,1,5,5,1
125687,2,2,2,1,2,2,2,4
3921,5,3,3,1,3,1,2,3
47773,1,1,4,1,5,5,5,2
21970,2,2,5,1,4,4,4,5
6528,1,3,1,2,3,3,3,1
51281,1,1,2,2,2,3,5,2
22470,4,1,2,2,2,4,5,2
54164,1,1,2,2,2,3,4,2
72606,5,1,2,2,2,4,5,2
12360,1,2,2,2,2,3,2,2
27957,2,2,2,2,2,2,4,2
7744,2,2,2,2,2,3,2,2
102318,2,2,2,2,2,4,5,2
30046,2,2,2,2,4,4,4,5
125701,5,2,2,2,2,4,5,2
3949,3,3,2,2,2,3,2,2
11536,3,3,2,2,2,3,4,2
73906,3,3,2,2,2,5,5,2
100462,3,3,2,2,2,5,5,2
15941,4,3,2,2,2,3,3,2
103418,4,3,2,2,2,4,3,2
67482,4,3,2,2,2,4,4,2
75855,4,3,2,2,2,4,5,2
73456,5,3,2,2,2,4,5,2
7823,5,3,2,2,2,5,4,2
123812,5,3,2,2,2,5,4,2
11005,1,4,2,2,2,2,2,2
88249,1,4,2,2,2,5,5,2
127781,1,4,2,2,2,5,4,2
83968,3,4,2,2,2,3,3,2
16112,4,4,2,2,2,3,5,2
102981,4,4,2,2,2,5,4,2
55823,4,4,2,2,2,5,4,2
82602,3,5,2,2,2,3,4,2
42609,5,5,2,2,2,2,3,2
124915,5,5,2,2,2,3,3,2
74101,5,5,2,2,2,4,5,2
12312,2,2,3,2,5,5,5,4
36875,3,4,4,2,2,2,2,4
54151,5,5,4,2,3,3,3,4
3214,1,3,5,2,1,1,1,4
42287,1,1,1,3,4,4,4,1
14527,1,1,1,3,5,5,5,3
35854,2,2,1,3,5,5,5,3
31122,3,3,1,3,4,4,4,3
69463,2,2,2,3,2,3,4,2
15143,2,2,2,3,3,3,3,2
107726,5,1,3,3,1,3,1,3
47050,1,1,3,3,3,4,3,3
44418,1,1,3,3,3,4,3,3
31533,4,1,3,3,3,5,5,3
46896,2,2,3,3,3,3,3,3
87192,2,2,3,3,3,3,3,3
81723,2,2,3,3,3,3,4,3
95746,2,2,3,3,5,5,5,4
36897,4,2,3,3,3,3,4,3
16172,3,3,3,3,1,3,2,3
19556,4,3,3,3,5,5,5,5
18412,5,3,3,3,3,5,5,3
63370,1,4,3,3,3,1,3,2
106220,5,4,3,3,3,4,4,3
38339,5,5,3,3,3,3,2,3
94988,5,5,3,3,3,5,2,3
47021,1,2,4,3,3,3,3,1
41440,2,2,4,3,4,1,4,4
17270,3,2,4,3,5,5,5,3
