,NAME,NAICS2017_LABEL,OWNER_SEX_LABEL,OWNER_ETH_LABEL,OWNER_RACE_LABEL,OWNER_VET_LABEL,QDESC_LABEL,OWNCHAR_LABEL,OWNPDEMP,OWNPDEMP_PCT,OWNPDEMP_S,OWNPDEMP_PCT_S
0,Mississippi,Total for all sectors,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,PRIORBUSTAT,Item not reported,1768,0.0,17.7,0.0
1,Mississippi,Total for all sectors,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,YRACQBUS,Before 1980,1158,4.6,20.3,0.9
2,Mississippi,Total for all sectors,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,YRACQBUS,1980 to 1989,1978,7.8,10.0,0.9
3,Mississippi,Total for all sectors,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,YRACQBUS,1990 to 1999,2983,11.8,11.7,1.0
4,Mississippi,Total for all sectors,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,YRACQBUS,2000 to 2007,5251,20.8,7.0,1.6
5,Mississippi,Total for all sectors,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,YRACQBUS,2008 to 2012,3727,14.8,6.3,1.0
6,Mississippi,Total for all sectors,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,YRACQBUS,2013 to 2017,5356,21.3,7.3,1.1
7,Mississippi,Total for all sectors,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,YRACQBUS,2018,99,0.4,41.6,0.2
8,Mississippi,Total for all sectors,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,YRACQBUS,Don't know,4648,18.4,12.4,1.8
9,Mississippi,Total for all sectors,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,YRACQBUS,Total reporting,25201,100.0,4.0,0.0
10,Mississippi,Total for all sectors,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,YRACQBUS,Item not reported,1552,0.0,17.3,0.0
11,Mississippi,Total for all sectors,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,PRIMINC,Business was the owner's primary source of personal income,17971,71.2,3.5,1.5
12,Mississippi,Total for all sectors,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,PRIMINC,Business was not the owner's primary source of personal income,7276,28.8,7.7,1.5
13,Mississippi,Total for all sectors,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,PRIMINC,Total reporting,25246,100.0,3.9,0.0
14,Mississippi,Total for all sectors,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,PRIMINC,Item not reported,1507,0.0,16.9,0.0
15,Mississippi,Total for all sectors,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,EDUC,"Some college, but no degree",3749,15.0,10.3,1.3
16,Mississippi,Total for all sectors,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,EDUC,Less than high school graduate,877,3.5,24.1,0.7
17,Mississippi,Total for all sectors,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,EDUC,High school graduate - diploma or GED,5443,21.7,7.1,1.8
18,Mississippi,Total for all sectors,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,EDUC,"Technical, trade, or vocational school",1194,4.8,13.6,0.8
19,Mississippi,Total for all sectors,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,EDUC,Associate degree,1725,6.9,16.7,1.1
20,Mississippi,Total for all sectors,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,EDUC,Bachelor's degree,6399,25.6,7.3,1.3
21,Mississippi,Total for all sectors,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,EDUC,Master's degree,1695,6.8,11.7,0.7
22,Mississippi,Total for all sectors,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,EDUC,Doctorate degree,438,1.7,33.7,0.6
23,Mississippi,Total for all sectors,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,EDUC,Professional degree beyond a bachelor's degree,3513,14.0,12.4,1.6
24,Mississippi,Total for all sectors,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,EDUC,Total reporting,25030,100.0,3.9,0.0
25,Mississippi,Total for all sectors,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,EDUC,Item not reported,1723,0.0,17.0,0.0
26,Mississippi,Total for all sectors,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,FLDEDUC,"Biological, agricultural and environmental life sciences",811,6.8,23.5,1.3
27,Mississippi,Total for all sectors,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,FLDEDUC,"Chemistry, except biochemistry",504,4.2,40.4,1.5
28,Mississippi,Total for all sectors,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,FLDEDUC,Computer and mathematical sciences and other technology and technical fields,299,2.5,22.1,0.5
29,Mississippi,Total for all sectors,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,FLDEDUC,"Earth, atmospheric and ocean sciences",0,0.0,0.0,0.0
30,Mississippi,Total for all sectors,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,FLDEDUC,"Economics, political, psychology, sociology and other social sciences",505,4.2,25.6,1.0
31,Mississippi,Total for all sectors,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,FLDEDUC,Engineering,806,6.7,19.3,1.3
32,Mississippi,Total for all sectors,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,FLDEDUC,Health,2150,17.9,12.0,2.5
33,Mississippi,Total for all sectors,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,FLDEDUC,Physics and astronomy,0,0.0,0.0,0.0
34,Mississippi,Total for all sectors,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,FLDEDUC,Science and mathematics teacher education,0,0.0,0.0,0.0
35,Mississippi,Total for all sectors,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,FLDEDUC,"Other science and engineering related fields, not listed above",413,3.4,21.4,0.8
36,Mississippi,Total for all sectors,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,FLDEDUC,Art and humanities fields,449,3.7,15.8,0.7
37,Mississippi,Total for all sectors,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,FLDEDUC,"Education, except science and math teacher education",845,7.0,13.7,1.2
38,Mississippi,Total for all sectors,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,FLDEDUC,"Other non-science and non-engineering related fields, not listed above",3025,25.2,8.2,1.6
39,Mississippi,Total for all sectors,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,FLDEDUC,Management and administration fields,2318,19.3,13.3,1.5
40,Mississippi,Total for all sectors,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,FLDEDUC,Sales and marketing fields,788,6.6,27.7,1.5
41,Mississippi,Total for all sectors,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,FLDEDUC,Social service and related fields,141,1.2,49.2,0.6
42,Mississippi,Total for all sectors,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,FLDEDUC,Total reporting,12013,100.0,7.1,0.0
43,Mississippi,Total for all sectors,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,FLDEDUC,Item not reported,0,0.0,0.0,0.0
44,Mississippi,Total for all sectors,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,FLDEDUC,"No Bachelor's, Master's, Doctorate, or Professional Degree",14709,0.0,5.4,0.0
45,Mississippi,Total for all sectors,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,OWNRAGE,Under 25,0,0.0,0.0,0.0
46,Mississippi,Total for all sectors,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,OWNRAGE,55 to 64,6782,26.8,10.9,2.5
47,Mississippi,Total for all sectors,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,OWNRAGE,25 to 34,973,3.8,17.2,0.6
48,Mississippi,Total for all sectors,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,OWNRAGE,35 to 44,5100,20.2,8.8,1.9
49,Mississippi,Total for all sectors,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,OWNRAGE,45 to 54,6886,27.2,8.2,1.8
50,Mississippi,Total for all sectors,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,OWNRAGE,65 or over,5557,22.0,7.9,1.5
51,Mississippi,Total for all sectors,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,OWNRAGE,Total reporting,25308,100.0,4.0,0.0
52,Mississippi,Total for all sectors,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,OWNRAGE,Item not reported,1446,0.0,18.5,0.0
53,Mississippi,Total for all sectors,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,REASONOWN,Wanted to be my own boss: Not important,3176,12.6,12.7,1.3
54,Mississippi,Total for all sectors,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,REASONOWN,Wanted to be my own boss: Somewhat important,7918,31.3,5.8,1.6
55,Mississippi,Total for all sectors,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,REASONOWN,Wanted to be my own boss: Very important,14087,55.7,4.1,1.0
56,Mississippi,Total for all sectors,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,REASONOWN,Flexible hours: Not important,4658,18.4,9.4,1.2
57,Mississippi,Total for all sectors,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,REASONOWN,Flexible hours: Somewhat important,8196,32.4,8.4,2.1
58,Mississippi,Total for all sectors,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,REASONOWN,Flexible hours: Very important,12320,48.7,3.9,2.2
59,Mississippi,Total for all sectors,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,REASONOWN,Balance work and family: Not important,3250,12.9,11.9,1.3
60,Mississippi,Total for all sectors,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,REASONOWN,Balance work and family: Somewhat important,8139,32.2,9.0,2.2
61,Mississippi,Total for all sectors,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,REASONOWN,Balance work and family: Very important,13700,54.2,4.0,2.1
62,Mississippi,Total for all sectors,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,REASONOWN,Greater income: Not important,2014,8.0,15.0,1.1
63,Mississippi,Total for all sectors,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,REASONOWN,Greater income: Somewhat important,8044,31.8,7.6,1.7
64,Mississippi,Total for all sectors,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,REASONOWN,Best avenue for ideas: Very important,12125,48.0,7.4,2.4
65,Mississippi,Total for all sectors,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,REASONOWN,Greater income: Very important,14816,58.6,4.1,1.6
66,Mississippi,Total for all sectors,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,REASONOWN,Best avenue for ideas: Not important,3985,15.8,10.4,1.7
67,Mississippi,Total for all sectors,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,REASONOWN,Best avenue for ideas: Somewhat important,9063,35.9,5.9,1.9
68,Mississippi,Total for all sectors,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,REASONOWN,Couldn't find a job: Not important,19506,77.2,6.1,2.4
69,Mississippi,Total for all sectors,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,REASONOWN,Couldn't find a job: Somewhat important,3820,15.1,13.2,2.2
70,Mississippi,Total for all sectors,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,REASONOWN,Couldn't find a job: Very important,1472,5.8,12.3,0.7
71,Mississippi,Total for all sectors,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,REASONOWN,Work for self: Not important,8330,33.0,8.5,2.3
72,Mississippi,Total for all sectors,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,REASONOWN,Work for self: Somewhat important,9764,38.6,5.8,1.6
73,Mississippi,Total for all sectors,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,REASONOWN,Work for self: Very important,7034,27.8,6.7,1.7
74,Mississippi,Total for all sectors,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,REASONOWN,Start my own business: Not important,5489,21.7,9.9,1.8
75,Mississippi,Total for all sectors,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,REASONOWN,Start my own business: Somewhat important,9186,36.3,5.1,1.5
76,Mississippi,Total for all sectors,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,REASONOWN,Friend or family role model: Very important,7245,28.7,6.4,1.2
77,Mississippi,Total for all sectors,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,REASONOWN,Start my own business: Very important,10116,40.0,5.1,1.6
78,Mississippi,Total for all sectors,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,REASONOWN,Friend or family role model: Not important,10699,42.3,6.4,1.9
79,Mississippi,Total for all sectors,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,REASONOWN,Friend or family role model: Somewhat important,7194,28.5,6.3,1.7
80,Mississippi,Total for all sectors,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,REASONOWN,Other: Not important,19298,76.3,6.4,2.1
81,Mississippi,Total for all sectors,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,REASONOWN,Other: Somewhat important,2394,9.5,14.2,1.5
82,Mississippi,Total for all sectors,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,REASONOWN,Other: Very important,2586,10.2,11.6,1.4
83,Mississippi,Total for all sectors,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,REASONOWN,Carry on family business: Not important,15918,63.0,5.3,2.3
84,Mississippi,Total for all sectors,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,REASONOWN,Carry on family business: Somewhat important,3761,14.9,9.4,1.3
85,Mississippi,Total for all sectors,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,REASONOWN,Carry on family business: Very important,5336,21.1,9.0,1.6
86,Mississippi,Total for all sectors,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,REASONOWN,Help my community: Not important,9088,36.0,7.2,1.8
87,Mississippi,Total for all sectors,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,REASONOWN,Help my community: Somewhat important,9816,38.8,5.8,1.7
88,Mississippi,Total for all sectors,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,REASONOWN,Help my community: Very important,6027,23.8,5.0,1.2
89,Mississippi,Total for all sectors,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,USBORN,Owner was not born in the U.S.,1825,7.2,12.8,0.9
90,Mississippi,Total for all sectors,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,REASONOWN,Total reporting,25279,100.0,4.0,0.0
91,Mississippi,Total for all sectors,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,REASONOWN,Item not reported,1474,0.0,17.6,0.0
92,Mississippi,Total for all sectors,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,USBORN,Owner was born in the U.S.,23490,92.8,4.3,0.9
93,Mississippi,Total for all sectors,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,USBORN,Total reporting,25314,100.0,4.0,0.0
94,Mississippi,Total for all sectors,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,USBORN,Item not reported,1439,0.0,18.7,0.0
95,Mississippi,Total for all sectors,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,USCITIZEN,Owner is a citizen of the U.S.,25053,99.0,4.1,0.3
96,Mississippi,Total for all sectors,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,USCITIZEN,Owner is not a citizen of the U.S.,262,1.0,27.7,0.3
97,Mississippi,Total for all sectors,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,USCITIZEN,Total reporting,25314,100.0,4.0,0.0
98,Mississippi,Total for all sectors,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,USCITIZEN,Item not reported,1439,0.0,18.7,0.0
99,Mississippi,Total for all sectors,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,Veteran,DISVETRN,Service-disabled veteran,153,6.7,44.7,2.9
100,Mississippi,Total for all sectors,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,Veteran,DISVETRN,Not a service-disabled veteran,2138,93.3,10.7,3.0
101,Mississippi,Total for all sectors,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,Veteran,DISVETRN,Total reporting,2291,100.0,9.7,0.0
102,Mississippi,Total for all sectors,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,Veteran,DISVETRN,Item not reported,360,0.0,28.7,0.0
103,Mississippi,Total for all sectors,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,Veteran,VETSPECIFIC,Served on active duty military service,1242,52.9,10.9,5.0
104,Mississippi,Total for all sectors,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,Veteran,VETSPECIFIC,Served on post-9/11 active duty military service,188,8.0,30.8,2.6
105,Mississippi,Total for all sectors,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,Veteran,VETSPECIFIC,Served in the National Guard or as a military reservist in reference year,184,7.8,38.4,2.7
106,Mississippi,Total for all sectors,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,Veteran,VETSPECIFIC,None of the above,797,34.0,17.4,4.8
107,Mississippi,Total for all sectors,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,Veteran,VETSPECIFIC,Total reporting,2346,100.0,8.6,0.0
108,Mississippi,Total for all sectors,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,Veteran,VETSPECIFIC,Item not reported by veterans,305,0.0,36.0,0.0
109,Mississippi,Total for all sectors,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,PRIORBUSTAT,Business was purchased by another company,0,0.0,0.0,0.0
110,Mississippi,Total for all sectors,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,PRIORBUSTAT,This is the owner's first business,6460,25.9,8.8,1.9
111,Mississippi,Total for all sectors,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,PRIORBUSTAT,Business is still operating and the owner still owns it,15724,62.9,5.6,2.2
112,Mississippi,Total for all sectors,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,PRIORBUSTAT,Business is no longer in operation,1381,5.5,16.2,0.9
113,Mississippi,Total for all sectors,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,PRIORBUSTAT,Business was purchased by another individual,281,1.1,32.2,0.3
114,Mississippi,Total for all sectors,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,PRIORBUSTAT,Other,1022,4.1,26.5,1.1
115,Mississippi,Total for all sectors,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,PRIORBUSTAT,Total reporting,24985,100.0,4.1,0.0
116,Missouri,Total for all sectors,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,YRACQBUS,Before 1980,3564,4.4,12.0,0.5
117,Missouri,Total for all sectors,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,All owners of respondent firms,YRACQBUS,1980 to 1989,8174,10.0,8.8,0.8
